entity;three_class;jour;P_f;P_h;P;T_f;T_h;T;pop;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
01;60+;2020-05-25;0;0;0;26;21;47;105103.0;2.0;183.0;1.9028952551306813;1.092896174863388;174.11491584445733
01;whole;2020-05-25;0;1;1;75;64;139;376879.0;8.0;662.0;2.1226972052037922;1.2084592145015105;175.6531937306138
01;0-29;2020-05-26;0;1;1;35;33;68;125175.0;4.0;229.0;3.1955262632314763;1.7467248908296942;182.943878570002
01;30-59;2020-05-26;0;0;0;65;59;124;146601.0;3.0;376.0;2.0463707614545603;0.7978723404255319;256.47846876897154
01;60+;2020-05-26;0;0;0;39;25;64;105103.0;2.0;214.0;1.9028952551306813;0.9345794392523363;203.60979229898288
01;whole;2020-05-26;0;1;1;139;117;256;376879.0;9.0;819.0;2.3880343558542663;1.098901098901099;217.31112638273825
01;0-29;2020-05-27;0;0;0;16;14;30;125175.0;4.0;213.0;3.1955262632314763;1.8779342723004695;170.16177351707609
01;30-59;2020-05-27;0;0;0;10;15;26;146601.0;3.0;332.0;2.0463707614545603;0.9036144578313252;226.46503093430468
01;60+;2020-05-27;0;0;0;3;9;12;105103.0;1.0;202.0;0.9514476275653406;0.49504950495049505;192.19242076819882
01;whole;2020-05-27;0;0;0;29;38;68;376879.0;8.0;747.0;2.1226972052037922;1.07095046854083;198.2068515359041
01;0-29;2020-05-28;0;0;0;36;27;64;125175.0;3.0;235.0;2.396644697423607;1.276595744680851;187.73716796484922
01;30-59;2020-05-28;1;0;1;54;45;99;146601.0;3.0;393.0;2.0463707614545603;0.7633587786259541;268.07456975054737
01;60+;2020-05-28;0;0;0;19;18;37;105103.0;1.0;218.0;0.9514476275653406;0.45871559633027525;207.41558280924426
01;whole;2020-05-28;1;0;1;109;90;200;376879.0;7.0;846.0;1.857360054553318;0.8274231678486997;224.47522945030101
01;0-29;2020-05-29;0;0;0;17;21;39;125175.0;3.0;227.0;2.396644697423607;1.3215859030837005;181.34611543838625
01;30-59;2020-05-29;0;0;0;38;23;61;146601.0;1.0;382.0;0.6821235871515201;0.2617801047120419;260.5712102918807
01;60+;2020-05-29;0;0;0;18;16;34;105103.0;0.0;207.0;0.0;0.0;196.94965890602552
01;whole;2020-05-29;0;0;0;73;60;134;376879.0;4.0;816.0;1.0613486026018961;0.49019607843137253;216.51511493078678
01;0-29;2020-05-30;0;0;0;4;1;5;125175.0;3.0;231.0;2.396644697423607;1.2987012987012987;184.54164170161772
01;30-59;2020-05-30;0;0;0;5;1;6;146601.0;1.0;385.0;0.6821235871515201;0.2597402597402597;262.61758105333524
01;60+;2020-05-30;0;0;0;0;1;1;105103.0;0.0;197.0;0.0;0.0;187.4351826303721
01;whole;2020-05-30;0;0;0;9;3;12;376879.0;4.0;813.0;1.0613486026018961;0.4920049200492005;215.71910347883536
01;0-29;2020-05-31;0;0;0;0;0;0;125175.0;2.0;230.0;1.5977631316157381;0.8695652173913043;183.74276013580987
01;30-59;2020-05-31;0;0;0;2;3;5;146601.0;1.0;389.0;0.6821235871515201;0.2570694087403599;265.34607540194133
01;60+;2020-05-31;0;0;0;2;1;3;105103.0;0.0;198.0;0.0;0.0;188.38663025793744
01;whole;2020-05-31;0;0;0;4;4;8;376879.0;3.0;817.0;0.7960114519514221;0.36719706242350064;216.78045208143726
01;0-29;2020-06-01;0;0;0;1;0;1;125175.0;1.0;207.0;0.7988815658078691;0.4830917874396135;165.36848412222886
01;30-59;2020-06-01;0;0;0;1;0;1;146601.0;1.0;322.0;0.6821235871515201;0.3105590062111801;219.64379506278948
01;60+;2020-06-01;0;0;0;0;0;0;105103.0;0.0;151.0;0.0;0.0;143.66859176236645
01;whole;2020-06-01;0;0;0;2;0;2;376879.0;2.0;680.0;0.5306743013009481;0.29411764705882354;180.42926244232234
01;0-29;2020-06-02;1;0;1;41;28;70;125175.0;1.0;209.0;0.7988815658078691;0.4784688995215311;166.9662472538446
01;30-59;2020-06-02;0;0;0;48;66;122;146601.0;1.0;320.0;0.6821235871515201;0.3125;218.27954788848643
01;60+;2020-06-02;0;1;1;24;18;43;105103.0;1.0;130.0;0.9514476275653406;0.7692307692307693;123.68819158349429
01;whole;2020-06-02;1;1;2;113;112;235;376879.0;3.0;659.0;0.7960114519514221;0.4552352048558422;174.85718227866238
01;0-29;2020-06-03;0;0;0;18;8;43;125175.0;1.0;222.0;0.7988815658078691;0.45045045045045046;177.3517076093469
01;30-59;2020-06-03;0;0;0;37;23;88;146601.0;1.0;382.0;0.6821235871515201;0.2617801047120419;260.5712102918807
01;60+;2020-06-03;0;0;0;18;5;28;105103.0;1.0;146.0;0.9514476275653406;0.684931506849315;138.91135362453974
01;whole;2020-06-03;0;0;0;73;36;159;376879.0;3.0;750.0;0.7960114519514221;0.4;199.0028629878555
01;0-29;2020-06-04;0;0;0;34;35;78;125175.0;1.0;236.0;0.7988815658078691;0.423728813559322;188.53604953065707
01;30-59;2020-06-04;0;0;0;41;42;94;146601.0;0.0;377.0;0.0;0.0;257.16059235612306
01;60+;2020-06-04;0;0;0;23;20;57;105103.0;1.0;166.0;0.9514476275653406;0.6024096385542169;157.94030617584656
01;whole;2020-06-04;0;0;0;98;97;229;376879.0;2.0;779.0;0.5306743013009481;0.25673940949935814;206.69764035671926
01;0-29;2020-06-05;1;1;2;49;33;99;125175.0;3.0;296.0;2.396644697423607;1.0135135135135136;236.4689434791292
01;30-59;2020-06-05;1;0;1;37;35;88;146601.0;1.0;404.0;0.6821235871515201;0.24752475247524752;275.5779292092141
01;60+;2020-06-05;0;1;1;21;25;56;105103.0;2.0;188.0;1.9028952551306813;1.0638297872340425;178.87215398228403
01;whole;2020-06-05;2;2;4;107;93;243;376879.0;6.0;888.0;1.5920229039028442;0.6756756756756757;235.6193897776209
01;0-29;2020-06-06;0;0;0;81;38;126;125175.0;3.0;417.0;2.396644697423607;0.7194244604316548;333.1336129418814
01;30-59;2020-06-06;1;0;1;30;19;56;146601.0;2.0;454.0;1.3642471743030402;0.4405286343612335;309.68410856679014
01;60+;2020-06-06;0;0;0;12;9;23;105103.0;2.0;210.0;1.9028952551306813;0.9523809523809524;199.80400178872156
01;whole;2020-06-06;1;0;1;123;66;205;376879.0;7.0;1081.0;1.857360054553318;0.6475485661424607;286.82945985316246
01;0-29;2020-06-07;0;0;0;1;1;2;125175.0;3.0;419.0;2.396644697423607;0.7159904534606205;334.7313760734971
01;30-59;2020-06-07;0;0;0;2;0;2;146601.0;2.0;451.0;1.3642471743030402;0.4434589800443459;307.6377378053356
01;60+;2020-06-07;0;0;0;1;0;1;105103.0;2.0;208.0;1.9028952551306813;0.9615384615384616;197.90110653359088
01;whole;2020-06-07;0;0;0;4;1;5;376879.0;7.0;1078.0;1.857360054553318;0.6493506493506493;286.033448401211
01;0-29;2020-06-08;0;0;0;10;8;20;125175.0;3.0;438.0;2.396644697423607;0.684931506849315;349.9101258238466
01;30-59;2020-06-08;0;0;0;10;16;30;146601.0;2.0;480.0;1.3642471743030402;0.4166666666666667;327.4193218327297
01;60+;2020-06-08;0;0;0;15;10;30;105103.0;2.0;238.0;1.9028952551306813;0.8403361344537815;226.44453536055107
01;whole;2020-06-08;0;0;0;35;34;80;376879.0;7.0;1156.0;1.857360054553318;0.6055363321799307;306.729746151948
01;0-29;2020-06-09;0;0;0;6;7;73;125175.0;2.0;441.0;1.5977631316157381;0.45351473922902497;352.30677052127027
01;30-59;2020-06-09;0;0;0;18;11;89;146601.0;2.0;447.0;1.3642471743030402;0.44742729306487694;304.9092434567295
01;60+;2020-06-09;0;0;0;17;12;59;105103.0;1.0;254.0;0.9514476275653406;0.39370078740157477;241.6676974015965
01;whole;2020-06-09;0;0;0;41;30;221;376879.0;5.0;1142.0;1.3266857532523701;0.43782837127845886;303.0150260428413
01;0-29;2020-06-10;0;0;0;5;5;26;125175.0;2.0;424.0;1.5977631316157381;0.4716981132075472;338.7257839025365
01;30-59;2020-06-10;1;0;1;7;12;53;146601.0;3.0;412.0;2.0463707614545603;0.7281553398058253;281.0349179064263
01;60+;2020-06-10;0;0;0;8;7;18;105103.0;1.0;244.0;0.9514476275653406;0.4098360655737705;232.15322112594313
01;whole;2020-06-10;1;0;1;20;24;97;376879.0;6.0;1080.0;1.5920229039028442;0.5555555555555556;286.56412270251195
01;0-29;2020-06-11;0;0;0;5;8;63;125175.0;2.0;409.0;1.5977631316157381;0.4889975550122249;326.74256041541844
01;30-59;2020-06-11;0;0;0;8;5;75;146601.0;3.0;393.0;2.0463707614545603;0.7633587786259541;268.07456975054737
01;60+;2020-06-11;0;0;0;8;6;46;105103.0;1.0;233.0;0.9514476275653406;0.4291845493562232;221.6872972227244
01;whole;2020-06-11;0;0;0;21;19;184;376879.0;6.0;1035.0;1.5920229039028442;0.5797101449275363;274.6239509232406
01;0-29;2020-06-12;0;0;1;14;6;122;125175.0;1.0;432.0;0.7988815658078691;0.23148148148148145;345.1168364289994
01;30-59;2020-06-12;0;0;1;18;7;137;146601.0;3.0;442.0;2.0463707614545603;0.6787330316742082;301.49862552097187
01;60+;2020-06-12;0;0;1;7;5;76;105103.0;1.0;253.0;0.9514476275653406;0.3952569169960474;240.7162497740312
01;whole;2020-06-12;0;0;3;39;18;335;376879.0;5.0;1127.0;1.3266857532523701;0.44365572315882873;299.03496878308425
01;0-29;2020-06-13;0;0;0;2;0;31;125175.0;1.0;337.0;0.7988815658078691;0.2967359050445104;269.22308767725184
01;30-59;2020-06-13;0;0;0;6;2;38;146601.0;2.0;424.0;1.3642471743030402;0.4716981132075472;289.2204009522445
01;60+;2020-06-13;0;0;0;3;3;14;105103.0;1.0;244.0;0.9514476275653406;0.4098360655737705;232.15322112594313
01;whole;2020-06-13;0;0;0;11;5;83;376879.0;4.0;1005.0;1.0613486026018961;0.3980099502487562;266.6638364037264
01;0-29;2020-06-14;0;0;0;2;1;3;125175.0;1.0;338.0;0.7988815658078691;0.2958579881656805;270.0219692430597
01;30-59;2020-06-14;0;0;0;4;3;7;146601.0;2.0;429.0;1.3642471743030402;0.4662004662004662;292.63101888800213
01;60+;2020-06-14;0;0;0;0;2;2;105103.0;1.0;245.0;0.9514476275653406;0.40816326530612246;233.10466875350846
01;whole;2020-06-14;0;0;0;6;6;12;376879.0;4.0;1012.0;1.0613486026018961;0.3952569169960474;268.5211964582797
01;0-29;2020-06-15;0;0;0;13;10;84;125175.0;1.0;402.0;0.7988815658078691;0.24875621890547264;321.1503894547633
01;30-59;2020-06-15;0;1;1;19;12;74;146601.0;3.0;473.0;2.0463707614545603;0.6342494714587738;322.644456722669
01;60+;2020-06-15;0;0;0;4;7;31;105103.0;1.0;246.0;0.9514476275653406;0.40650406504065045;234.05611638107382
01;whole;2020-06-15;0;1;1;36;29;189;376879.0;5.0;1121.0;1.3266857532523701;0.44603033006244425;297.44294587918137
01;0-29;2020-06-16;0;0;1;18;17;110;125175.0;2.0;439.0;1.5977631316157381;0.45558086560364464;350.70900738965446
01;30-59;2020-06-16;0;0;0;19;14;100;146601.0;3.0;484.0;2.0463707614545603;0.6198347107438017;330.14781618133577
01;60+;2020-06-16;0;0;0;17;17;93;105103.0;1.0;280.0;0.9514476275653406;0.35714285714285715;266.40533571829536
01;whole;2020-06-16;0;0;1;54;48;303;376879.0;6.0;1203.0;1.5920229039028442;0.4987531172069825;319.20059223252025
01;0-29;2020-06-17;0;0;0;11;6;21;125175.0;2.0;434.0;1.5977631316157381;0.4608294930875576;346.7145995606151
01;30-59;2020-06-17;0;0;0;19;12;32;146601.0;2.0;463.0;1.3642471743030402;0.4319654427645789;315.82322085115385
01;60+;2020-06-17;0;0;0;32;20;53;105103.0;1.0;315.0;0.9514476275653406;0.31746031746031744;299.7060026830823
01;whole;2020-06-17;0;0;0;62;38;107;376879.0;5.0;1213.0;1.3266857532523701;0.4122011541632316;321.853963739025
01;0-29;2020-06-18;0;0;1;11;5;62;125175.0;3.0;433.0;2.396644697423607;0.6928406466512702;345.91571799480727
01;30-59;2020-06-18;0;0;0;27;14;74;146601.0;2.0;462.0;1.3642471743030402;0.4329004329004329;315.1410972640023
01;60+;2020-06-18;0;0;0;33;27;82;105103.0;1.0;351.0;0.9514476275653406;0.2849002849002849;333.9581172754346
01;whole;2020-06-18;0;0;1;71;46;218;376879.0;6.0;1247.0;1.5920229039028442;0.48115477145148355;330.8754268611411
01;0-29;2020-06-19;0;1;1;29;20;79;125175.0;3.0;390.0;2.396644697423607;0.7692307692307693;311.5638106650689
