jour;three_class;P;T;pop
;;sum;sum;sum
2020-06-16;20-59;344;21258;33157720.0476845
2020-06-16;60+;149;16672;17857583.105505366
2020-06-16;whole;572;42807;67114995.0
2020-06-17;0-19;114;4861;16099691.846810132
2020-06-17;20-59;450;20075;33157720.0476845
2020-06-17;60+;177;14972;17857583.105505366
2020-06-17;whole;743;39927;67114995.0
2020-06-18;0-19;103;4488;16099691.846810132
2020-06-18;20-59;352;19338;33157720.0476845
2020-06-18;60+;114;13795;17857583.105505366
2020-06-18;whole;570;37654;67114995.0
2020-06-19;0-19;117;5468;16099691.846810132
2020-06-19;20-59;437;22689;33157720.0476845
2020-06-19;60+;144;17463;17857583.105505366
2020-06-19;whole;699;45639;67114995.0
2020-06-20;0-19;57;2715;16099691.846810132
2020-06-20;20-59;225;10220;33157720.0476845
2020-06-20;60+;67;8637;17857583.105505366
2020-06-20;whole;349;21575;67114995.0
2020-06-21;0-19;13;679;16099691.846810132
2020-06-21;20-59;74;2532;33157720.0476845
2020-06-21;60+;26;3236;17857583.105505366
2020-06-21;whole;113;6448;67114995.0
2020-06-22;0-19;96;5949;16099691.846810132
2020-06-22;20-59;362;23994;33157720.0476845
2020-06-22;60+;137;18134;17857583.105505366
2020-06-22;whole;595;48101;67114995.0
2020-06-23;0-19;114;6429;16099691.846810132
2020-06-23;20-59;418;24393;33157720.0476845
2020-06-23;60+;122;17308;17857583.105505366
2020-06-23;whole;656;48153;67114995.0
2020-06-24;0-19;103;6639;16099691.846810132
2020-06-24;20-59;445;23151;33157720.0476845
2020-06-24;60+;117;15371;17857583.105505366
2020-06-24;whole;666;45176;67114995.0
2020-06-25;0-19;78;5924;16099691.846810132
2020-06-25;20-59;335;20028;33157720.0476845
2020-06-25;60+;95;13518;17857583.105505366
2020-06-25;whole;508;39486;67114995.0
2020-06-26;0-19;89;8309;16099691.846810132
2020-06-26;20-59;367;24792;33157720.0476845
2020-06-26;60+;121;17696;17857583.105505366
2020-06-26;whole;578;50813;67114995.0
2020-06-27;0-19;60;4047;16099691.846810132
2020-06-27;20-59;206;11152;33157720.0476845
2020-06-27;60+;70;9321;17857583.105505366
2020-06-27;whole;336;24526;67114995.0
2020-06-28;0-19;42;1238;16099691.846810132
2020-06-28;20-59;127;3316;33157720.0476845
2020-06-28;60+;45;3629;17857583.105505366
2020-06-28;whole;214;8186;67114995.0
2020-06-29;0-19;112;11206;16099691.846810132
2020-06-29;20-59;430;29419;33157720.0476845
2020-06-29;60+;131;20705;17857583.105505366
2020-06-29;whole;674;61346;67114995.0
2020-06-30;0-19;106;11143;16099691.846810132
2020-06-30;20-59;454;29179;33157720.0476845
2020-06-30;60+;140;18756;17857583.105505366
2020-06-30;whole;722;59150;67114995.0
2020-07-01;0-19;108;11285;16099691.846810132
2020-07-01;20-59;410;28975;33157720.0476845
2020-07-01;60+;103;16665;17857583.105505366
2020-07-01;whole;630;56958;67114995.0
2020-07-02;0-19;104;10869;16099691.846810132
2020-07-02;20-59;373;27998;33157720.0476845
2020-07-02;60+;109;15635;17857583.105505366
2020-07-02;whole;591;54535;67114995.0
2020-07-03;0-19;136;12582;16099691.846810132
2020-07-03;20-59;417;31779;33157720.0476845
2020-07-03;60+;176;19494;17857583.105505366
2020-07-03;whole;737;63882;67114995.0
2020-07-04;0-19;59;5752;16099691.846810132
2020-07-04;20-59;217;13971;33157720.0476845
2020-07-04;60+;72;9230;17857583.105505366
2020-07-04;whole;349;28962;67114995.0
2020-07-05;0-19;8;1231;16099691.846810132
2020-07-05;20-59;69;3421;33157720.0476845
2020-07-05;60+;26;3838;17857583.105505366
2020-07-05;whole;103;8490;67114995.0
2020-07-06;0-19;136;12328;16099691.846810132
2020-07-06;20-59;399;33850;33157720.0476845
2020-07-06;60+;141;20407;17857583.105505366
2020-07-06;whole;676;66609;67114995.0
2020-07-07;0-19;85;12194;16099691.846810132
2020-07-07;20-59;365;34222;33157720.0476845
2020-07-07;60+;117;19479;17857583.105505366
2020-07-07;whole;571;65930;67114995.0
2020-07-08;0-19;123;11520;16099691.846810132
2020-07-08;20-59;463;35389;33157720.0476845
2020-07-08;60+;114;17808;17857583.105505366
2020-07-08;whole;700;64753;67114995.0
2020-07-09;0-19;125;11910;16099691.846810132
2020-07-09;20-59;451;37582;33157720.0476845
2020-07-09;60+;123;18856;17857583.105505366
2020-07-09;whole;701;68392;67114995.0
2020-07-10;0-19;165;14221;16099691.846810132
2020-07-10;20-59;535;41146;33157720.0476845
2020-07-10;60+;143;21267;17857583.105505366
2020-07-10;whole;847;76685;67114995.0
2020-07-11;0-19;58;6271;16099691.846810132
2020-07-11;20-59;225;17020;33157720.0476845
2020-07-11;60+;68;9159;17857583.105505366
2020-07-11;whole;351;32458;67114995.0
2020-07-12;0-19;20;1347;16099691.846810132
2020-07-12;20-59;63;3691;33157720.0476845
2020-07-12;60+;33;3445;17857583.105505366
2020-07-12;whole;116;8485;67114995.0
2020-07-13;0-19;166;13599;16099691.846810132
2020-07-13;20-59;558;42374;33157720.0476845
2020-07-13;60+;151;24045;17857583.105505366
2020-07-13;whole;875;80086;67114995.0
2020-07-14;0-19;29;1810;16099691.846810132
2020-07-14;20-59;115;5793;33157720.0476845
2020-07-14;60+;38;4733;17857583.105505366
2020-07-14;whole;182;12339;67114995.0
2020-07-15;0-19;143;13275;16099691.846810132
2020-07-15;20-59;541;44969;33157720.0476845
2020-07-15;60+;163;21378;17857583.105505366
2020-07-15;whole;852;79739;67114995.0
2020-07-16;0-19;150;13123;16099691.846810132
2020-07-16;20-59;660;48436;33157720.0476845
2020-07-16;60+;160;22344;17857583.105505366
2020-07-16;whole;974;83982;67114995.0
2020-07-17;0-19;151;14540;16099691.846810132
2020-07-17;20-59;591;53030;33157720.0476845
2020-07-17;60+;211;25990;17857583.105505366
2020-07-17;whole;960;93663;67114995.0
2020-07-18;0-19;83;6591;16099691.846810132
2020-07-18;20-59;279;22209;33157720.0476845
2020-07-18;60+;79;11637;17857583.105505366
2020-07-18;whole;442;40467;67114995.0
2020-07-19;0-19;23;1810;16099691.846810132
2020-07-19;20-59;133;5924;33157720.0476845
2020-07-19;60+;36;4509;17857583.105505366
2020-07-19;whole;192;12248;67114995.0
2020-07-20;0-19;158;13697;16099691.846810132
2020-07-20;20-59;656;51655;33157720.0476845
2020-07-20;60+;212;27021;17857583.105505366
2020-07-20;whole;1028;92478;67114995.0
2020-07-21;0-19;176;13104;16099691.846810132
2020-07-21;20-59;705;50469;33157720.0476845
2020-07-21;60+;210;25221;17857583.105505366
2020-07-21;whole;1094;88879;67114995.0
2020-07-22;0-19;189;13144;16099691.846810132
2020-07-22;20-59;771;51504;33157720.0476845
2020-07-22;60+;197;23878;17857583.105505366
2020-07-22;whole;1157;88593;67114995.0
2020-07-23;0-19;183;12327;16099691.846810132
2020-07-23;20-59;751;51588;33157720.0476845
2020-07-23;60+;202;23842;17857583.105505366
2020-07-23;whole;1141;87833;67114995.0
2020-07-24;0-19;209;13527;16099691.846810132
2020-07-24;20-59;837;54673;33157720.0476845
2020-07-24;60+;223;27261;17857583.105505366
2020-07-24;whole;1272;95543;67114995.0
2020-07-25;0-19;93;6444;16099691.846810132
2020-07-25;20-59;429;24056;33157720.0476845
2020-07-25;60+;101;12554;17857583.105505366
2020-07-25;whole;623;43098;67114995.0
2020-07-26;0-19;39;2092;16099691.846810132
2020-07-26;20-59;175;7904;33157720.0476845
2020-07-26;60+;49;4920;17857583.105505366
2020-07-26;whole;263;14923;67114995.0
2020-07-27;0-19;223;14565;16099691.846810132
2020-07-27;20-59;958;59044;33157720.0476845
2020-07-27;60+;233;28755;17857583.105505366
2020-07-27;whole;1417;102441;67114995.0
2020-07-28;0-19;191;14075;16099691.846810132
2020-07-28;20-59;945;60510;33157720.0476845
2020-07-28;60+;219;28693;17857583.105505366
2020-07-28;whole;1363;103334;67114995.0
2020-07-29;0-19;223;15177;16099691.846810132
2020-07-29;20-59;1010;64218;33157720.0476845
2020-07-29;60+;231;27816;17857583.105505366
2020-07-29;whole;1470;107265;67114995.0
2020-07-30;0-19;255;14585;16099691.846810132
2020-07-30;20-59;1061;64631;33157720.0476845
2020-07-30;60+;225;25774;17857583.105505366
2020-07-30;whole;1543;105047;67114995.0
2020-07-31;0-19;283;15501;16099691.846810132
2020-07-31;20-59;1137;65245;33157720.0476845
2020-07-31;60+;204;28682;17857583.105505366
2020-07-31;whole;1624;109480;67114995.0
2020-08-01;0-19;132;6985;16099691.846810132
2020-08-01;20-59;533;27824;33157720.0476845
2020-08-01;60+;122;12520;17857583.105505366
2020-08-01;whole;788;47349;67114995.0
2020-08-02;0-19;25;2196;16099691.846810132
2020-08-02;20-59;171;9141;33157720.0476845
2020-08-02;60+;48;5105;17857583.105505366
2020-08-02;whole;247;16447;67114995.0
2020-08-03;0-19;338;15921;16099691.846810132
2020-08-03;20-59;1399;66367;33157720.0476845
2020-08-03;60+;267;29973;17857583.105505366
2020-08-03;whole;2009;112347;67114995.0
2020-08-04;0-19;282;14001;16099691.846810132
2020-08-04;20-59;1427;63105;33157720.0476845
2020-08-04;60+;294;28743;17857583.105505366
2020-08-04;whole;2008;105916;67114995.0
2020-08-05;0-19;261;13720;16099691.846810132
2020-08-05;20-59;1427;65186;33157720.0476845
2020-08-05;60+;265;26809;17857583.105505366
2020-08-05;whole;1955;105778;67114995.0
2020-08-06;0-19;313;14379;16099691.846810132
2020-08-06;20-59;1504;68289;33157720.0476845
2020-08-06;60+;323;26264;17857583.105505366
2020-08-06;whole;2149;108992;67114995.0
2020-08-07;0-19;353;14544;16099691.846810132
2020-08-07;20-59;1614;68239;33157720.0476845
2020-08-07;60+;310;28311;17857583.105505366
2020-08-07;whole;2279;111154;67114995.0
2020-08-08;0-19;140;6927;16099691.846810132
2020-08-08;20-59;677;29605;33157720.0476845
2020-08-08;60+;167;12786;17857583.105505366
2020-08-08;whole;984;49335;67114995.0
2020-08-09;0-19;57;2336;16099691.846810132
2020-08-09;20-59;260;9500;33157720.0476845
2020-08-09;60+;93;5013;17857583.105505366
2020-08-09;whole;410;16858;67114995.0
2020-08-10;0-19;404;16010;16099691.846810132
2020-08-10;20-59;2017;69821;33157720.0476845
2020-08-10;60+;349;29754;17857583.105505366
2020-08-10;whole;2772;115666;67114995.0
2020-08-11;0-19;397;13856;16099691.846810132
2020-08-11;20-59;1888;63824;33157720.0476845
2020-08-11;60+;352;27499;17857583.105505366
2020-08-11;whole;2640;105236;67114995.0
2020-08-12;0-19;403;15000;16099691.846810132
2020-08-12;20-59;2109;68617;33157720.0476845
2020-08-12;60+;350;26364;17857583.105505366
2020-08-12;whole;2864;110031;67114995.0
2020-08-13;0-19;525;16515;16099691.846810132
2020-08-13;20-59;2560;75024;33157720.0476845
2020-08-13;60+;399;27819;17857583.105505366
2020-08-13;whole;3487;119418;67114995.0
2020-08-14;0-19;581;17655;16099691.846810132
2020-08-14;20-59;2760;81075;33157720.0476845
2020-08-14;60+;479;32296;17857583.105505366
2020-08-14;whole;3820;131082;67114995.0
2020-08-15;0-19;86;3467;16099691.846810132
2020-08-15;20-59;516;14944;33157720.0476845
2020-08-15;60+;127;7700;17857583.105505366
2020-08-15;whole;731;26131;67114995.0
2020-08-16;0-19;88;2953;16099691.846810132
2020-08-16;20-59;473;12769;33157720.0476845
2020-08-16;60+;109;5918;17857583.105505366
2020-08-16;whole;670;21646;67114995.0
2020-08-17;0-19;683;21185;16099691.846810132
2020-08-17;20-59;3714;95059;33157720.0476845
2020-08-17;60+;553;35923;17857583.105505366
2020-08-17;whole;4952;152234;67114995.0
2020-08-18;0-19;601;18880;16099691.846810132
2020-08-18;20-59;3580;90472;33157720.0476845
2020-08-18;60+;511;34205;17857583.105505366
2020-08-18;whole;4694;143619;67114995.0
2020-08-19;0-19;626;18468;16099691.846810132
2020-08-19;20-59;3636;91946;33157720.0476845
2020-08-19;60+;537;32713;17857583.105505366
2020-08-19;whole;4802;143189;67114995.0
2020-08-20;0-19;764;19727;16099691.846810132
2020-08-20;20-59;3746;98295;33157720.0476845
2020-08-20;60+;553;33730;17857583.105505366
2020-08-20;whole;5064;151831;67114995.0
2020-08-21;0-19;774;20911;16099691.846810132
2020-08-21;20-59;3744;103833;33157720.0476845
2020-08-21;60+;533;37425;17857583.105505366
2020-08-21;whole;5058;162307;67114995.0
2020-08-22;0-19;317;9626;16099691.846810132
2020-08-22;20-59;1610;42506;33157720.0476845
2020-08-22;60+;243;15978;17857583.105505366
2020-08-22;whole;2172;68177;67114995.0
2020-08-23;0-19;114;3141;16099691.846810132
2020-08-23;20-59;705;13685;33157720.0476845
2020-08-23;60+;128;5616;17857583.105505366
2020-08-23;whole;947;22448;67114995.0
2020-08-24;0-19;961;24271;16099691.846810132
2020-08-24;20-59;5177;119083;33157720.0476845
2020-08-24;60+;744;41073;17857583.105505366
2020-08-24;whole;6885;184511;67114995.0
2020-08-25;0-19;1022;22539;16099691.846810132
2020-08-25;20-59;4936;112929;33157720.0476845
2020-08-25;60+;746;39652;17857583.105505366
2020-08-25;whole;6714;175269;67114995.0
2020-08-26;0-19;918;22830;16099691.846810132
2020-08-26;20-59;4902;116455;33157720.0476845
2020-08-26;60+;729;39870;17857583.105505366
2020-08-26;whole;6568;179372;67114995.0
2020-08-27;0-19;1099;24126;16099691.846810132
2020-08-27;20-59;5428;126345;33157720.0476845
2020-08-27;60+;758;41427;17857583.105505366
2020-08-27;whole;7289;191974;67114995.0
2020-08-28;0-19;1208;26275;16099691.846810132
2020-08-28;20-59;5391;127741;33157720.0476845
2020-08-28;60+;883;44064;17857583.105505366
2020-08-28;whole;7490;198185;67114995.0
2020-08-29;0-19;460;11760;16099691.846810132
2020-08-29;20-59;2111;51987;33157720.0476845
2020-08-29;60+;354;19096;17857583.105505366
2020-08-29;whole;2927;82871;67114995.0
2020-08-30;0-19;185;3911;16099691.846810132
2020-08-30;20-59;894;15988;33157720.0476845
2020-08-30;60+;137;6439;17857583.105505366
2020-08-30;whole;1217;26344;67114995.0
2020-08-31;0-19;1528;28470;16099691.846810132
2020-08-31;20-59;6706;138678;33157720.0476845
2020-08-31;60+;1110;48797;17857583.105505366
2020-08-31;whole;9348;216021;67114995.0
2020-09-01;0-19;1433;22946;16099691.846810132
2020-09-01;20-59;6291;126822;33157720.0476845
2020-09-01;60+;1014;43416;17857583.105505366
2020-09-01;whole;8745;193275;67114995.0
2020-09-02;0-19;1461;23778;16099691.846810132
2020-09-02;20-59;6485;126378;33157720.0476845
2020-09-02;60+;1009;41948;17857583.105505366
2020-09-02;whole;8959;192188;67114995.0
2020-09-03;0-19;1493;23217;16099691.846810132
2020-09-03;20-59;6976;133654;33157720.0476845
2020-09-03;60+;1110;42244;17857583.105505366
2020-09-03;whole;9585;199190;67114995.0
2020-09-04;0-19;1801;29613;16099691.846810132
2020-09-04;20-59;6852;136724;33157720.0476845
2020-09-04;60+;1305;48327;17857583.105505366
2020-09-04;whole;9968;214744;67114995.0
2020-09-05;0-19;732;16969;16099691.846810132
2020-09-05;20-59;2655;54287;33157720.0476845
2020-09-05;60+;568;20063;17857583.105505366
2020-09-05;whole;3955;91383;67114995.0
2020-09-06;0-19;238;4813;16099691.846810132
2020-09-06;20-59;917;15769;33157720.0476845
2020-09-06;60+;243;6829;17857583.105505366
2020-09-06;whole;1398;27420;67114995.0
2020-09-07;0-19;2168;42044;16099691.846810132
2020-09-07;20-59;8267;146561;33157720.0476845
2020-09-07;60+;1666;51992;17857583.105505366
2020-09-07;whole;12107;240682;67114995.0
2020-09-08;0-19;2115;49633;16099691.846810132
2020-09-08;20-59;7988;143397;33157720.0476845
2020-09-08;60+;1416;45001;17857583.105505366
2020-09-08;whole;11522;238126;67114995.0
2020-09-09;0-19;2117;51258;16099691.846810132
2020-09-09;20-59;7595;141104;33157720.0476845
2020-09-09;60+;1456;41437;17857583.105505366
2020-09-09;whole;11177;233891;67114995.0
2020-09-10;0-19;2255;54832;16099691.846810132
2020-09-10;20-59;8010;148971;33157720.0476845
2020-09-10;60+;1623;43555;17857583.105505366
2020-09-10;whole;11890;247435;67114995.0
2020-09-11;0-19;2220;60993;16099691.846810132
2020-09-11;20-59;7336;147740;33157720.0476845
2020-09-11;60+;1544;48073;17857583.105505366
2020-09-11;whole;11108;256908;67114995.0
2020-09-12;0-19;814;23514;16099691.846810132
2020-09-12;20-59;2877;56073;33157720.0476845
2020-09-12;60+;706;20419;17857583.105505366
2020-09-12;whole;4399;100035;67114995.0
2020-09-13;0-19;250;5540;16099691.846810132
2020-09-13;20-59;979;15436;33157720.0476845
2020-09-13;60+;301;7301;17857583.105505366
2020-09-13;whole;1531;28284;67114995.0
2020-09-14;0-19;2763;59663;16099691.846810132
2020-09-14;20-59;9583;157327;33157720.0476845
2020-09-14;60+;2182;54102;17857583.105505366
2020-09-14;whole;14539;271212;67114995.0
2020-09-15;0-19;2542;63550;16099691.846810132
2020-09-15;20-59;8993;151309;33157720.0476845
2020-09-15;60+;1830;46778;17857583.105505366
2020-09-15;whole;13374;261731;67114995.0
2020-09-16;0-19;2617;60917;16099691.846810132
2020-09-16;20-59;8759;141076;33157720.0476845
2020-09-16;60+;1887;41213;17857583.105505366
2020-09-16;whole;13275;243290;67114995.0
2020-09-17;0-19;2554;55026;16099691.846810132
2020-09-17;20-59;9031;141772;33157720.0476845
2020-09-17;60+;1899;42732;17857583.105505366
2020-09-17;whole;13498;239625;67114995.0
2020-09-18;0-19;2518;55279;16099691.846810132
2020-09-18;20-59;8693;136551;33157720.0476845
2020-09-18;60+;1847;47859;17857583.105505366
2020-09-18;whole;13068;239784;67114995.0
2020-09-19;0-19;958;19636;16099691.846810132
2020-09-19;20-59;3364;52211;33157720.0476845
2020-09-19;60+;776;20386;17857583.105505366
2020-09-19;whole;5099;92263;67114995.0
2020-09-20;0-19;265;5260;16099691.846810132
2020-09-20;20-59;1184;15969;33157720.0476845
2020-09-20;60+;301;7375;17857583.105505366
2020-09-20;whole;1751;28613;67114995.0
2020-09-21;0-19;2639;45997;16099691.846810132
2020-09-21;20-59;10399;140908;33157720.0476845
2020-09-21;60+;2408;52134;17857583.105505366
2020-09-21;whole;15459;239178;67114995.0
2020-09-22;0-19;2391;44034;16099691.846810132
2020-09-22;20-59;9498;127983;33157720.0476845
2020-09-22;60+;2152;43775;17857583.105505366
2020-09-22;whole;14064;215917;67114995.0
2020-09-23;0-19;2162;40348;16099691.846810132
2020-09-23;20-59;8831;118709;33157720.0476845
2020-09-23;60+;1854;39729;17857583.105505366
2020-09-23;whole;12861;198908;67114995.0
2020-09-24;0-19;2097;36423;16099691.846810132
2020-09-24;20-59;8592;121617;33157720.0476845
2020-09-24;60+;1894;41897;17857583.105505366
2020-09-24;whole;12586;200007;67114995.0
2020-09-25;0-19;2160;37491;16099691.846810132
2020-09-25;20-59;8117;122057;33157720.0476845
2020-09-25;60+;1853;46684;17857583.105505366
2020-09-25;whole;12140;206310;67114995.0
2020-09-26;0-19;865;14804;16099691.846810132
2020-09-26;20-59;3092;48106;33157720.0476845
2020-09-26;60+;744;19774;17857583.105505366
2020-09-26;whole;4703;82722;67114995.0
2020-09-27;0-19;213;3071;16099691.846810132
2020-09-27;20-59;832;12359;33157720.0476845
2020-09-27;60+;302;6934;17857583.105505366
2020-09-27;whole;1348;22367;67114995.0
2020-09-28;0-19;2209;34456;16099691.846810132
2020-09-28;20-59;9202;128762;33157720.0476845
2020-09-28;60+;2189;52238;17857583.105505366
2020-09-28;whole;13613;215601;67114995.0
2020-09-29;0-19;1910;33935;16099691.846810132
2020-09-29;20-59;8738;116109;33157720.0476845
2020-09-29;60+;2009;43277;17857583.105505366
2020-09-29;whole;12661;193389;67114995.0
2020-09-30;0-19;2126;34212;16099691.846810132
2020-09-30;20-59;8908;110999;33157720.0476845
2020-09-30;60+;2126;39526;17857583.105505366
2020-09-30;whole;13168;184889;67114995.0
2020-10-01;0-19;2325;31891;16099691.846810132
2020-10-01;20-59;9943;115783;33157720.0476845
2020-10-01;60+;2177;40220;17857583.105505366
2020-10-01;whole;14457;188019;67114995.0
2020-10-02;0-19;2580;33633;16099691.846810132
