jour;three_class;P;T;pop
;;sum;sum;sum
2020-10-09;0-19;3763;43026;16099691.846810132
2020-10-09;20-59;15786;151641;33157720.0476845
2020-10-09;60+;4257;55724;17857583.105505366
2020-10-09;whole;23810;250478;67114995.0
2020-10-10;0-19;1787;19933;16099691.846810132
2020-10-10;20-59;7278;64620;33157720.0476845
2020-10-10;60+;2049;25574;17857583.105505366
2020-10-10;whole;11117;110172;67114995.0
2020-10-11;0-19;435;4410;16099691.846810132
2020-10-11;20-59;1954;17000;33157720.0476845
2020-10-11;60+;752;9029;17857583.105505366
2020-10-11;whole;3143;30461;67114995.0
2020-10-12;0-19;4708;47118;16099691.846810132
2020-10-12;20-59;20479;173161;33157720.0476845
2020-10-12;60+;6209;67787;17857583.105505366
2020-10-12;whole;31406;288175;67114995.0
2020-10-13;0-19;4123;48275;16099691.846810132
2020-10-13;20-59;18576;160203;33157720.0476845
2020-10-13;60+;5636;57741;17857583.105505366
2020-10-13;whole;28348;266324;67114995.0
2020-10-14;0-19;4506;54524;16099691.846810132
2020-10-14;20-59;18672;162685;33157720.0476845
2020-10-14;60+;5359;52725;17857583.105505366
2020-10-14;whole;28549;270047;67114995.0
2020-10-15;0-19;4580;51927;16099691.846810132
2020-10-15;20-59;20911;181164;33157720.0476845
2020-10-15;60+;6263;57453;17857583.105505366
2020-10-15;whole;31766;290655;67114995.0
2020-10-16;0-19;4732;54255;16099691.846810132
2020-10-16;20-59;21822;191687;33157720.0476845
2020-10-16;60+;6679;65260;17857583.105505366
2020-10-16;whole;33249;311320;67114995.0
2020-10-17;0-19;2146;25256;16099691.846810132
2020-10-17;20-59;9744;81057;33157720.0476845
2020-10-17;60+;3213;29058;17857583.105505366
2020-10-17;whole;15113;135430;67114995.0
2020-10-18;0-19;578;5801;16099691.846810132
2020-10-18;20-59;2829;22030;33157720.0476845
2020-10-18;60+;1194;10101;17857583.105505366
2020-10-18;whole;4602;37949;67114995.0
2020-10-19;0-19;5739;53077;16099691.846810132
2020-10-19;20-59;29117;209324;33157720.0476845
2020-10-19;60+;9936;79589;17857583.105505366
2020-10-19;whole;44803;342100;67114995.0
2020-10-20;0-19;5029;44178;16099691.846810132
2020-10-20;20-59;29146;196694;33157720.0476845
2020-10-20;60+;9781;68960;17857583.105505366
2020-10-20;whole;43982;309965;67114995.0
2020-10-21;0-19;5149;45943;16099691.846810132
2020-10-21;20-59;30979;204708;33157720.0476845
2020-10-21;60+;10222;67546;17857583.105505366
2020-10-21;whole;46367;318311;67114995.0
2020-10-22;0-19;5937;46880;16099691.846810132
2020-10-22;20-59;33416;222559;33157720.0476845
2020-10-22;60+;11397;74516;17857583.105505366
2020-10-22;whole;50771;344100;67114995.0
2020-10-23;0-19;6736;50382;16099691.846810132
2020-10-23;20-59;35561;240891;33157720.0476845
2020-10-23;60+;12539;83610;17857583.105505366
2020-10-23;whole;54859;375006;67114995.0
2020-10-24;0-19;3107;22804;16099691.846810132
2020-10-24;20-59;16367;101402;33157720.0476845
2020-10-24;60+;5503;36206;17857583.105505366
2020-10-24;whole;24990;160473;67114995.0
2020-10-25;0-19;805;5602;16099691.846810132
2020-10-25;20-59;4461;26287;33157720.0476845
2020-10-25;60+;1903;12320;17857583.105505366
2020-10-25;whole;7171;44221;67114995.0
2020-10-26;0-19;8125;52590;16099691.846810132
2020-10-26;20-59;44041;260480;33157720.0476845
2020-10-26;60+;16128;101161;17857583.105505366
2020-10-26;whole;68329;414384;67114995.0
2020-10-27;0-19;6876;43892;16099691.846810132
2020-10-27;20-59;39798;238882;33157720.0476845
2020-10-27;60+;14340;90029;17857583.105505366
2020-10-27;whole;61074;372967;67114995.0
2020-10-28;0-19;6699;43759;16099691.846810132
2020-10-28;20-59;36148;232971;33157720.0476845
2020-10-28;60+;13662;87844;17857583.105505366
2020-10-28;whole;56529;364703;67114995.0
2020-10-29;0-19;7363;46182;16099691.846810132
2020-10-29;20-59;34949;236057;33157720.0476845
2020-10-29;60+;13482;91296;17857583.105505366
2020-10-29;whole;55818;373698;67114995.0
2020-10-30;0-19;8741;53320;16099691.846810132
2020-10-30;20-59;35625;246275;33157720.0476845
2020-10-30;60+;13796;98403;17857583.105505366
2020-10-30;whole;58192;398168;67114995.0
2020-10-31;0-19;3874;25045;16099691.846810132
2020-10-31;20-59;16086;105452;33157720.0476845
2020-10-31;60+;6150;39905;17857583.105505366
2020-10-31;whole;26118;170465;67114995.0
2020-11-01;0-19;934;6337;16099691.846810132
2020-11-01;20-59;3940;24906;33157720.0476845
2020-11-01;60+;1969;12773;17857583.105505366
2020-11-01;whole;6844;44028;67114995.0
2020-11-02;0-19;10043;58330;16099691.846810132
2020-11-02;20-59;43013;261137;33157720.0476845
2020-11-02;60+;16672;113453;17857583.105505366
2020-11-02;whole;69753;433048;67114995.0
2020-11-03;0-19;8383;51233;16099691.846810132
2020-11-03;20-59;35075;226802;33157720.0476845
2020-11-03;60+;15239;102130;17857583.105505366
2020-11-03;whole;58749;380321;67114995.0
2020-11-04;0-19;7892;54177;16099691.846810132
2020-11-04;20-59;29015;207579;33157720.0476845
2020-11-04;60+;12926;89648;17857583.105505366
2020-11-04;whole;49850;351534;67114995.0
2020-11-05;0-19;7461;54141;16099691.846810132
2020-11-05;20-59;27228;217195;33157720.0476845
2020-11-05;60+;12032;94915;17857583.105505366
2020-11-05;whole;46742;366421;67114995.0
2020-11-06;0-19;7708;56729;16099691.846810132
2020-11-06;20-59;25176;219513;33157720.0476845
2020-11-06;60+;11927;98066;17857583.105505366
2020-11-06;whole;44853;374460;67114995.0
2020-11-07;0-19;3161;25560;16099691.846810132
2020-11-07;20-59;9995;84863;33157720.0476845
2020-11-07;60+;4660;35503;17857583.105505366
2020-11-07;whole;17825;145969;67114995.0
2020-11-08;0-19;561;4818;16099691.846810132
2020-11-08;20-59;2164;17610;33157720.0476845
2020-11-08;60+;1579;11358;17857583.105505366
2020-11-08;whole;4304;33799;67114995.0
2020-11-09;0-19;7508;60331;16099691.846810132
2020-11-09;20-59;26788;218527;33157720.0476845
2020-11-09;60+;13117;109008;17857583.105505366
2020-11-09;whole;47439;388010;67114995.0
2020-11-10;0-19;5680;56055;16099691.846810132
2020-11-10;20-59;20386;193729;33157720.0476845
2020-11-10;60+;11134;98115;17857583.105505366
2020-11-10;whole;37229;348055;67114995.0
2020-11-11;0-19;743;7840;16099691.846810132
2020-11-11;20-59;2855;27434;33157720.0476845
2020-11-11;60+;1759;15107;17857583.105505366
2020-11-11;whole;5358;50397;67114995.0
2020-11-12;0-19;6114;58431;16099691.846810132
2020-11-12;20-59;20001;200353;33157720.0476845
2020-11-12;60+;10271;99679;17857583.105505366
2020-11-12;whole;36409;358644;67114995.0
2020-11-13;0-19;5000;53521;16099691.846810132
2020-11-13;20-59;15455;168991;33157720.0476845
2020-11-13;60+;8354;85104;17857583.105505366
2020-11-13;whole;28830;307719;67114995.0
2020-11-14;0-19;1966;20725;16099691.846810132
2020-11-14;20-59;6089;62940;33157720.0476845
2020-11-14;60+;2904;31351;17857583.105505366
2020-11-14;whole;10962;115044;67114995.0
2020-11-15;0-19;375;3676;16099691.846810132
2020-11-15;20-59;1354;13290;33157720.0476845
2020-11-15;60+;973;9312;17857583.105505366
2020-11-15;whole;2703;26288;67114995.0
2020-11-16;0-19;4938;46618;16099691.846810132
2020-11-16;20-59;16670;168599;33157720.0476845
2020-11-16;60+;8646;94906;17857583.105505366
2020-11-16;whole;30267;310292;67114995.0
2020-11-17;0-19;3568;39942;16099691.846810132
2020-11-17;20-59;11803;140522;33157720.0476845
2020-11-17;60+;6225;76573;17857583.105505366
2020-11-17;whole;21740;257288;67114995.0
2020-11-18;0-19;3050;35454;16099691.846810132
2020-11-18;20-59;9325;118432;33157720.0476845
2020-11-18;60+;4922;60049;17857583.105505366
2020-11-18;whole;17319;214051;67114995.0
2020-11-19;0-19;2858;37691;16099691.846810132
2020-11-19;20-59;9115;131367;33157720.0476845
2020-11-19;60+;4769;65908;17857583.105505366
2020-11-19;whole;16753;235067;67114995.0
2020-11-20;0-19;2930;40162;16099691.846810132
2020-11-20;20-59;8853;134514;33157720.0476845
2020-11-20;60+;4395;70668;17857583.105505366
2020-11-20;whole;16198;245444;67114995.0
2020-11-21;0-19;1283;17182;16099691.846810132
2020-11-21;20-59;4178;58030;33157720.0476845
2020-11-21;60+;1781;29773;17857583.105505366
2020-11-21;whole;7248;105016;67114995.0
2020-11-22;0-19;240;3098;16099691.846810132
2020-11-22;20-59;951;12198;33157720.0476845
2020-11-22;60+;635;9065;17857583.105505366
2020-11-22;whole;1826;24368;67114995.0
2020-11-23;0-19;2861;34332;16099691.846810132
2020-11-23;20-59;9837;138336;33157720.0476845
2020-11-23;60+;5007;83017;17857583.105505366
2020-11-23;whole;17714;255785;67114995.0
2020-11-24;0-19;2033;30058;16099691.846810132
2020-11-24;20-59;7288;115885;33157720.0476845
2020-11-24;60+;4380;67149;17857583.105505366
2020-11-24;whole;13706;213156;67114995.0
2020-11-25;0-19;2038;29477;16099691.846810132
2020-11-25;20-59;6888;108067;33157720.0476845
2020-11-25;60+;3666;56075;17857583.105505366
2020-11-25;whole;12600;193698;67114995.0
2020-11-26;0-19;1979;28805;16099691.846810132
2020-11-26;20-59;6960;115881;33157720.0476845
2020-11-26;60+;3537;62207;17857583.105505366
2020-11-26;whole;12483;206980;67114995.0
2020-11-27;0-19;2154;31110;16099691.846810132
2020-11-27;20-59;6888;121184;33157720.0476845
2020-11-27;60+;3387;66948;17857583.105505366
2020-11-27;whole;12434;219306;67114995.0
2020-11-28;0-19;1030;13707;16099691.846810132
2020-11-28;20-59;3450;55065;33157720.0476845
2020-11-28;60+;1581;30098;17857583.105505366
2020-11-28;whole;6063;98896;67114995.0
2020-11-29;0-19;164;2622;16099691.846810132
2020-11-29;20-59;827;11655;33157720.0476845
2020-11-29;60+;610;9361;17857583.105505366
2020-11-29;whole;1602;23642;67114995.0
2020-11-30;0-19;2303;28472;16099691.846810132
2020-11-30;20-59;8808;128733;33157720.0476845
2020-11-30;60+;4720;80373;17857583.105505366
2020-11-30;whole;15834;237640;67114995.0
2020-12-01;0-19;1753;24536;16099691.846810132
2020-12-01;20-59;6741;109600;33157720.0476845
2020-12-01;60+;3851;64100;17857583.105505366
2020-12-01;whole;12352;198315;67114995.0
2020-12-02;0-19;1761;23967;16099691.846810132
2020-12-02;20-59;6256;100821;33157720.0476845
2020-12-02;60+;3471;54724;17857583.105505366
2020-12-02;whole;11493;179592;67114995.0
2020-12-03;0-19;1762;24216;16099691.846810132
2020-12-03;20-59;6758;115037;33157720.0476845
2020-12-03;60+;3430;59503;17857583.105505366
2020-12-03;whole;11953;198862;67114995.0
2020-12-04;0-19;1984;27839;16099691.846810132
2020-12-04;20-59;6994;121535;33157720.0476845
2020-12-04;60+;3548;67825;17857583.105505366
2020-12-04;whole;12530;217272;67114995.0
2020-12-05;0-19;1086;13711;16099691.846810132
2020-12-05;20-59;3776;58957;33157720.0476845
2020-12-05;60+;1693;32047;17857583.105505366
2020-12-05;whole;6557;104755;67114995.0
2020-12-06;0-19;181;2733;16099691.846810132
2020-12-06;20-59;863;13129;33157720.0476845
2020-12-06;60+;710;10273;17857583.105505366
2020-12-06;whole;1755;26145;67114995.0
2020-12-07;0-19;2327;28762;16099691.846810132
2020-12-07;20-59;9538;142473;33157720.0476845
2020-12-07;60+;4777;84050;17857583.105505366
2020-12-07;whole;16647;255374;67114995.0
2020-12-08;0-19;1883;27303;16099691.846810132
2020-12-08;20-59;7346;126162;33157720.0476845
2020-12-08;60+;3950;70416;17857583.105505366
2020-12-08;whole;13186;223937;67114995.0
2020-12-09;0-19;1975;27106;16099691.846810132
2020-12-09;20-59;7060;118995;33157720.0476845
2020-12-09;60+;3660;59147;17857583.105505366
2020-12-09;whole;12701;205342;67114995.0
2020-12-10;0-19;1964;27828;16099691.846810132
2020-12-10;20-59;7635;132011;33157720.0476845
2020-12-10;60+;3921;65070;17857583.105505366
2020-12-10;whole;13523;224983;67114995.0
2020-12-11;0-19;2282;33610;16099691.846810132
2020-12-11;20-59;7972;144055;33157720.0476845
2020-12-11;60+;3787;73016;17857583.105505366
2020-12-11;whole;14045;250788;67114995.0
2020-12-12;0-19;1171;17750;16099691.846810132
2020-12-12;20-59;4702;77343;33157720.0476845
2020-12-12;60+;1938;37014;17857583.105505366
2020-12-12;whole;7812;132145;67114995.0
2020-12-13;0-19;210;3601;16099691.846810132
2020-12-13;20-59;1064;19063;33157720.0476845
2020-12-13;60+;745;11156;17857583.105505366
2020-12-13;whole;2019;33823;67114995.0
2020-12-14;0-19;2746;43596;16099691.846810132
2020-12-14;20-59;11296;182963;33157720.0476845
2020-12-14;60+;5529;100289;17857583.105505366
2020-12-14;whole;19576;326943;67114995.0
2020-12-15;0-19;2285;46567;16099691.846810132
2020-12-15;20-59;8952;176942;33157720.0476845
2020-12-15;60+;4637;87475;17857583.105505366
2020-12-15;whole;15884;311103;67114995.0
2020-12-16;0-19;2394;53863;16099691.846810132
2020-12-16;20-59;8692;199259;33157720.0476845
2020-12-16;60+;4240;81076;17857583.105505366
2020-12-16;whole;15332;334298;67114995.0
2020-12-17;0-19;2256;59316;16099691.846810132
2020-12-17;20-59;9195;242091;33157720.0476845
2020-12-17;60+;4411;94734;17857583.105505366
2020-12-17;whole;15868;396251;67114995.0
2020-12-18;0-19;2528;70727;16099691.846810132
2020-12-18;20-59;10099;302596;33157720.0476845
2020-12-18;60+;4835;129243;17857583.105505366
2020-12-18;whole;17471;502691;67114995.0
2020-12-19;0-19;1611;53281;16099691.846810132
2020-12-19;20-59;6355;205083;33157720.0476845
2020-12-19;60+;2666;73845;17857583.105505366
2020-12-19;whole;10637;332276;67114995.0
2020-12-20;0-19;475;16727;16099691.846810132
2020-12-20;20-59;2118;71208;33157720.0476845
2020-12-20;60+;1036;28368;17857583.105505366
2020-12-20;whole;3630;116330;67114995.0
2020-12-21;0-19;2764;92411;16099691.846810132
2020-12-21;20-59;12338;414465;33157720.0476845
2020-12-21;60+;6103;166220;17857583.105505366
2020-12-21;whole;21214;673261;67114995.0
2020-12-22;0-19;2351;100394;16099691.846810132
2020-12-22;20-59;10602;463469;33157720.0476845
2020-12-22;60+;5380;170670;17857583.105505366
2020-12-22;whole;18340;734708;67114995.0
2020-12-23;0-19;2271;99791;16099691.846810132
2020-12-23;20-59;9970;472631;33157720.0476845
2020-12-23;60+;4573;153276;17857583.105505366
2020-12-23;whole;16820;725869;67114995.0
2020-12-24;0-19;1805;65357;16099691.846810132
2020-12-24;20-59;7823;336327;33157720.0476845
2020-12-24;60+;3372;97087;17857583.105505366
2020-12-24;whole;13003;498857;67114995.0
2020-12-25;0-19;116;4217;16099691.846810132
2020-12-25;20-59;681;23383;33157720.0476845
2020-12-25;60+;495;10402;17857583.105505366
2020-12-25;whole;1293;38014;67114995.0
2020-12-26;0-19;1294;27598;16099691.846810132
2020-12-26;20-59;6147;143926;33157720.0476845
2020-12-26;60+;2265;48002;17857583.105505366
2020-12-26;whole;9708;219590;67114995.0
2020-12-27;0-19;206;4968;16099691.846810132
2020-12-27;20-59;1191;29225;33157720.0476845
2020-12-27;60+;728;13057;17857583.105505366
2020-12-27;whole;2128;47260;67114995.0
2020-12-28;0-19;2773;44178;16099691.846810132
2020-12-28;20-59;13787;248559;33157720.0476845
2020-12-28;60+;6014;104838;17857583.105505366
2020-12-28;whole;22576;397652;67114995.0
2020-12-29;0-19;2532;41266;16099691.846810132
2020-12-29;20-59;11496;227070;33157720.0476845
2020-12-29;60+;6000;97675;17857583.105505366
2020-12-29;whole;20034;366087;67114995.0
2020-12-30;0-19;2826;48888;16099691.846810132
2020-12-30;20-59;11645;252606;33157720.0476845
2020-12-30;60+;5299;98170;17857583.105505366
2020-12-30;whole;19778;399741;67114995.0
2020-12-31;0-19;2285;42130;16099691.846810132
2020-12-31;20-59;9667;215023;33157720.0476845
2020-12-31;60+;4180;80608;17857583.105505366
2020-12-31;whole;16137;337839;67114995.0
2021-01-01;0-19;142;3342;16099691.846810132
2021-01-01;20-59;825;19420;33157720.0476845
2021-01-01;60+;626;10182;17857583.105505366
2021-01-01;whole;1594;32957;67114995.0
2021-01-02;0-19;2196;27623;16099691.846810132
2021-01-02;20-59;8584;141941;33157720.0476845
2021-01-02;60+;3023;60233;17857583.105505366
2021-01-02;whole;13803;229840;67114995.0
2021-01-03;0-19;370;5594;16099691.846810132
2021-01-03;20-59;1646;27422;33157720.0476845
2021-01-03;60+;900;13534;17857583.105505366
2021-01-03;whole;2917;46567;67114995.0
2021-01-04;0-19;4080;42529;16099691.846810132
2021-01-04;20-59;17659;263592;33157720.0476845
2021-01-04;60+;7069;122682;17857583.105505366
2021-01-04;whole;28814;428897;67114995.0
2021-01-05;0-19;3400;35235;16099691.846810132
2021-01-05;20-59;13469;209636;33157720.0476845
2021-01-05;60+;6142;100255;17857583.105505366
2021-01-05;whole;23018;345209;67114995.0
2021-01-06;0-19;3286;36874;16099691.846810132
2021-01-06;20-59;11803;192171;33157720.0476845
2021-01-06;60+;5276;85142;17857583.105505366
2021-01-06;whole;20373;314260;67114995.0
2021-01-07;0-19;3017;37253;16099691.846810132
2021-01-07;20-59;11612;205920;33157720.0476845
2021-01-07;60+;5065;84573;17857583.105505366
2021-01-07;whole;19699;327815;67114995.0
2021-01-08;0-19;3312;41557;16099691.846810132
2021-01-08;20-59;12032;216066;33157720.0476845
2021-01-08;60+;5118;94016;17857583.105505366
2021-01-08;whole;20467;351726;67114995.0
2021-01-09;0-19;1888;25715;16099691.846810132
2021-01-09;20-59;6993;115218;33157720.0476845
2021-01-09;60+;2644;48462;17857583.105505366
2021-01-09;whole;11528;189427;67114995.0
2021-01-10;0-19;306;4423;16099691.846810132
2021-01-10;20-59;1467;24608;33157720.0476845
2021-01-10;60+;900;13002;17857583.105505366
2021-01-10;whole;2673;42041;67114995.0
2021-01-11;0-19;3955;47580;16099691.846810132
2021-01-11;20-59;16110;233618;33157720.0476845
2021-01-11;60+;7487;118358;17857583.105505366
2021-01-11;whole;27560;399658;67114995.0
2021-01-12;0-19;3270;43607;16099691.846810132
2021-01-12;20-59;12219;199317;33157720.0476845
2021-01-12;60+;6124;96816;17857583.105505366
2021-01-12;whole;21631;339836;67114995.0
2021-01-13;0-19;3406;45175;16099691.846810132
2021-01-13;20-59;11886;185712;33157720.0476845
2021-01-13;60+;5517;83524;17857583.105505366
2021-01-13;whole;20814;314488;67114995.0
2021-01-14;0-19;3186;44379;16099691.846810132
2021-01-14;20-59;12223;197490;33157720.0476845
2021-01-14;60+;5624;82193;17857583.105505366
2021-01-14;whole;21117;324240;67114995.0
2021-01-15;0-19;3930;53167;16099691.846810132
2021-01-15;20-59;12885;208445;33157720.0476845
2021-01-15;60+;5443;90827;17857583.105505366
2021-01-15;whole;22264;352529;67114995.0
2021-01-16;0-19;2264;30871;16099691.846810132
2021-01-16;20-59;7350;118151;33157720.0476845
2021-01-16;60+;2848;50230;17857583.105505366
2021-01-16;whole;12463;199281;67114995.0
2021-01-17;0-19;364;5239;16099691.846810132
2021-01-17;20-59;1647;25702;33157720.0476845
2021-01-17;60+;971;13468;17857583.105505366
2021-01-17;whole;2982;44418;67114995.0
2021-01-18;0-19;4898;55091;16099691.846810132
2021-01-18;20-59;17705;229265;33157720.0476845
2021-01-18;60+;8057;116112;17857583.105505366
2021-01-18;whole;30664;400558;67114995.0
2021-01-19;0-19;3958;51935;16099691.846810132
2021-01-19;20-59;13648;194911;33157720.0476845
2021-01-19;60+;6434;91809;17857583.105505366
2021-01-19;whole;24051;338773;67114995.0
2021-01-20;0-19;4132;52394;16099691.846810132
2021-01-20;20-59;12954;190635;33157720.0476845
2021-01-20;60+;5568;78872;17857583.105505366
2021-01-20;whole;22683;322037;67114995.0
2021-01-21;0-19;3865;55650;16099691.846810132
2021-01-21;20-59;13279;206843;33157720.0476845
2021-01-21;60+;5979;78973;17857583.105505366
2021-01-21;whole;23141;341605;67114995.0
2021-01-22;0-19;4637;66445;16099691.846810132
2021-01-22;20-59;13763;226589;33157720.0476845
2021-01-22;60+;5916;91632;17857583.105505366
2021-01-22;whole;24322;384756;67114995.0
2021-01-23;0-19;2511;33932;16099691.846810132
2021-01-23;20-59;7947;121217;33157720.0476845
2021-01-23;60+;3102;47249;17857583.105505366
2021-01-23;whole;13560;202444;67114995.0
2021-01-24;0-19;402;5630;16099691.846810132
2021-01-24;20-59;1592;23732;33157720.0476845
2021-01-24;60+;966;13157;17857583.105505366
2021-01-24;whole;2962;42531;67114995.0
2021-01-25;0-19;5234;68118;16099691.846810132
2021-01-25;20-59;17958;246587;33157720.0476845
2021-01-25;60+;8489;119561;17857583.105505366
2021-01-25;whole;31688;434361;67114995.0
2021-01-26;0-19;4070;58542;16099691.846810132
2021-01-26;20-59;13426;209657;33157720.0476845
2021-01-26;60+;6333;94597;17857583.105505366
2021-01-26;whole;23843;362879;67114995.0
2021-01-27;0-19;4246;57401;16099691.846810132
2021-01-27;20-59;12720;204024;33157720.0476845
2021-01-27;60+;5613;81654;17857583.105505366
2021-01-27;whole;22588;343165;67114995.0
2021-01-28;0-19;4032;68055;16099691.846810132
2021-01-28;20-59;13623;234474;33157720.0476845
2021-01-28;60+;6274;85641;17857583.105505366
2021-01-28;whole;23933;388266;67114995.0
2021-01-29;0-19;4659;74921;16099691.846810132
2021-01-29;20-59;14088;247073;33157720.0476845
2021-01-29;60+;6050;95710;17857583.105505366
2021-01-29;whole;24806;417814;67114995.0
2021-01-30;0-19;2434;35622;16099691.846810132
2021-01-30;20-59;8130;132198;33157720.0476845
2021-01-30;60+;3186;49769;17857583.105505366
2021-01-30;whole;13753;217638;67114995.0
2021-01-31;0-19;482;6023;16099691.846810132
2021-01-31;20-59;1871;25380;33157720.0476845
2021-01-31;60+;1047;13109;17857583.105505366
2021-01-31;whole;3402;44525;67114995.0
2021-02-01;0-19;5303;70837;16099691.846810132
2021-02-01;20-59;18378;254161;33157720.0476845
2021-02-01;60+;8222;120602;17857583.105505366
2021-02-01;whole;31926;445822;67114995.0
2021-02-02;0-19;4183;69626;16099691.846810132
2021-02-02;20-59;13853;219667;33157720.0476845
2021-02-02;60+;6349;98658;17857583.105505366
2021-02-02;whole;24401;388028;67114995.0
2021-02-03;0-19;4096;62988;16099691.846810132
2021-02-03;20-59;12695;206218;33157720.0476845
2021-02-03;60+;5316;84015;17857583.105505366
2021-02-03;whole;22115;353329;67114995.0
2021-02-04;0-19;3783;71990;16099691.846810132
2021-02-04;20-59;12856;224977;33157720.0476845
2021-02-04;60+;5529;84599;17857583.105505366
2021-02-04;whole;22183;381670;67114995.0
2021-02-05;0-19;4600;82308;16099691.846810132
2021-02-05;20-59;13287;247762;33157720.0476845
2021-02-05;60+;5489;96662;17857583.105505366
2021-02-05;whole;23382;426817;67114995.0
2021-02-06;0-19;2517;41687;16099691.846810132
2021-02-06;20-59;7719;131846;33157720.0476845
2021-02-06;60+;2802;50266;17857583.105505366
2021-02-06;whole;13040;223844;67114995.0
2021-02-07;0-19;424;6333;16099691.846810132
2021-02-07;20-59;1612;24309;33157720.0476845
2021-02-07;60+;840;13082;17857583.105505366
2021-02-07;whole;2877;43733;67114995.0
2021-02-08;0-19;4700;73867;16099691.846810132
2021-02-08;20-59;16664;243636;33157720.0476845
2021-02-08;60+;6850;115256;17857583.105505366
2021-02-08;whole;28229;432874;67114995.0
2021-02-09;0-19;3947;74010;16099691.846810132
2021-02-09;20-59;13337;213908;33157720.0476845
2021-02-09;60+;5299;96113;17857583.105505366
2021-02-09;whole;22588;384162;67114995.0
2021-02-10;0-19;4046;68032;16099691.846810132
2021-02-10;20-59;12174;202394;33157720.0476845
2021-02-10;60+;4750;80174;17857583.105505366
2021-02-10;whole;20978;350717;67114995.0
2021-02-11;0-19;3760;73318;16099691.846810132
2021-02-11;20-59;11800;217484;33157720.0476845
2021-02-11;60+;4728;77920;17857583.105505366
2021-02-11;whole;20294;368850;67114995.0
2021-02-12;0-19;4164;84242;16099691.846810132
2021-02-12;20-59;12703;237453;33157720.0476845
2021-02-12;60+;4649;87135;17857583.105505366
2021-02-12;whole;21520;408936;67114995.0
2021-02-13;0-19;2404;45411;16099691.846810132
2021-02-13;20-59;7295;127525;33157720.0476845
2021-02-13;60+;2446;45735;17857583.105505366
2021-02-13;whole;12147;218718;67114995.0
2021-02-14;0-19;394;6984;16099691.846810132
2021-02-14;20-59;1653;23408;33157720.0476845
2021-02-14;60+;826;12843;17857583.105505366
2021-02-14;whole;2874;43258;67114995.0
2021-02-15;0-19;4678;74796;16099691.846810132
2021-02-15;20-59;17227;241117;33157720.0476845
2021-02-15;60+;6400;111453;17857583.105505366
2021-02-15;whole;28326;427613;67114995.0
2021-02-16;0-19;3819;65787;16099691.846810132
2021-02-16;20-59;13658;209535;33157720.0476845
2021-02-16;60+;5042;90803;17857583.105505366
2021-02-16;whole;22533;366250;67114995.0
2021-02-17;0-19;3930;61833;16099691.846810132
2021-02-17;20-59;13733;201671;33157720.0476845
2021-02-17;60+;4774;79475;17857583.105505366
2021-02-17;whole;22442;343051;67114995.0
2021-02-18;0-19;4075;68654;16099691.846810132
2021-02-18;20-59;14365;221099;33157720.0476845
2021-02-18;60+;4903;77963;17857583.105505366
2021-02-18;whole;23352;367806;67114995.0
2021-02-19;0-19;4638;78266;16099691.846810132
2021-02-19;20-59;15474;243608;33157720.0476845
2021-02-19;60+;5248;88536;17857583.105505366
2021-02-19;whole;25367;410515;67114995.0
2021-02-20;0-19;2677;41799;16099691.846810132
2021-02-20;20-59;8818;129370;33157720.0476845
2021-02-20;60+;2790;46907;17857583.105505366
2021-02-20;whole;14291;218116;67114995.0
2021-02-21;0-19;496;6587;16099691.846810132
2021-02-21;20-59;1982;24681;33157720.0476845
2021-02-21;60+;937;12686;17857583.105505366
2021-02-21;whole;3415;43974;67114995.0
2021-02-22;0-19;5389;59877;16099691.846810132
2021-02-22;20-59;20619;243189;33157720.0476845
2021-02-22;60+;7069;111288;17857583.105505366
2021-02-22;whole;33087;414462;67114995.0
2021-02-23;0-19;4133;49610;16099691.846810132
2021-02-23;20-59;15885;207870;33157720.0476845
2021-02-23;60+;5641;92725;17857583.105505366
2021-02-23;whole;25675;350314;67114995.0
2021-02-24;0-19;4239;48359;16099691.846810132
2021-02-24;20-59;14822;203935;33157720.0476845
2021-02-24;60+;5165;81910;17857583.105505366
2021-02-24;whole;24235;334298;67114995.0
2021-02-25;0-19;4272;53888;16099691.846810132
2021-02-25;20-59;14959;218460;33157720.0476845
2021-02-25;60+;4942;77733;17857583.105505366
2021-02-25;whole;24181;350191;67114995.0
2021-02-26;0-19;4806;63132;16099691.846810132
2021-02-26;20-59;15164;241741;33157720.0476845
2021-02-26;60+;5043;91473;17857583.105505366
2021-02-26;whole;25017;396444;67114995.0
2021-02-27;0-19;2781;32910;16099691.846810132
2021-02-27;20-59;8867;127767;33157720.0476845
2021-02-27;60+;2810;48915;17857583.105505366
2021-02-27;whole;14459;209650;67114995.0
2021-02-28;0-19;516;6414;16099691.846810132
2021-02-28;20-59;1947;25243;33157720.0476845
2021-02-28;60+;830;13090;17857583.105505366
2021-02-28;whole;3295;44762;67114995.0
2021-03-01;0-19;5600;57938;16099691.846810132
2021-03-01;20-59;19687;242031;33157720.0476845
2021-03-01;60+;6534;112377;17857583.105505366
2021-03-01;whole;31832;412435;67114995.0
2021-03-02;0-19;4338;51732;16099691.846810132
2021-03-02;20-59;15108;200829;33157720.0476845
2021-03-02;60+;5152;91608;17857583.105505366
2021-03-02;whole;24610;344241;67114995.0
2021-03-03;0-19;4553;48010;16099691.846810132
2021-03-03;20-59;14610;198162;33157720.0476845
2021-03-03;60+;4431;79465;17857583.105505366
2021-03-03;whole;23603;325731;67114995.0
