entity;three_class;jour;hosp;rea;HospConv;SSR_USLD;autres;rad;dc;taux hosp;taux rea
Auvergne-Rhône-Alpes;whole;2020-03-28;1904;432;0.0;0.0;0.0;700;194;23.70406667914118;5.37823361627573
Auvergne-Rhône-Alpes;0-19;2020-03-29;15;2;0.0;0.0;0.0;10;0;0.7730950551294083;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-03-29;419;125;0.0;0.0;0.0;367;10;10.526276122562031;3.140297172602038
Auvergne-Rhône-Alpes;60+;2020-03-29;1619;357;0.0;0.0;0.0;367;213;76.671391341863;16.906539042029088
Auvergne-Rhône-Alpes;whole;2020-03-29;2115;497;0.0;0.0;0.0;755;227;26.330935413016594;6.187458581687588
Auvergne-Rhône-Alpes;0-19;2020-03-30;18;4;0.0;0.0;0.0;14;0;0.9277140661552901;0.20615868136784224
Auvergne-Rhône-Alpes;20-59;2020-03-30;477;147;0.0;0.0;0.0;408;12;11.983374010649376;3.6929894749799965
Auvergne-Rhône-Alpes;60+;2020-03-30;1777;418;0.0;0.0;0.0;407;246;84.15383719239689;19.795331427361788
Auvergne-Rhône-Alpes;whole;2020-03-30;2333;583;0.0;0.0;0.0;842;264;29.04495145085944;7.258125459001738
Auvergne-Rhône-Alpes;0-19;2020-03-31;17;3;0.0;0.0;0.0;17;0;0.8761743958133296;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-03-31;488;149;0.0;0.0;0.0;479;12;12.259720161838356;3.7432342297416294
Auvergne-Rhône-Alpes;60+;2020-03-31;1914;457;0.0;0.0;0.0;471;276;90.64178074634083;21.642264263885973
Auvergne-Rhône-Alpes;whole;2020-03-31;2487;624;0.0;0.0;0.0;982;295;30.962192138142914;7.7685596679538325
Auvergne-Rhône-Alpes;0-19;2020-04-01;15;3;0.0;0.0;0.0;20;0;0.7730950551294083;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-01;508;161;0.0;0.0;0.0;570;13;12.762167709454681;4.044702758311424
Auvergne-Rhône-Alpes;60+;2020-04-01;2049;492;0.0;0.0;0.0;578;327;97.03500979584763;23.299768091535885
Auvergne-Rhône-Alpes;whole;2020-04-01;2635;672;0.0;0.0;0.0;1193;349;32.80473513631145;8.366141180873358
Auvergne-Rhône-Alpes;0-19;2020-04-02;17;3;0.0;0.0;0.0;24;0;0.8761743958133296;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-02;533;168;0.0;0.0;0.0;643;17;13.390227143975089;4.220559399977139
Auvergne-Rhône-Alpes;60+;2020-04-02;2097;510;0.0;0.0;0.0;677;376;99.30815790233892;24.152198631470128
Auvergne-Rhône-Alpes;whole;2020-04-02;2706;700;0.0;0.0;0.0;1374;404;33.688657790838256;8.71473039674308
Auvergne-Rhône-Alpes;0-19;2020-04-03;17;3;0.0;0.0;0.0;28;0;0.8761743958133296;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-03;544;171;0.0;0.0;0.0;701;18;13.666573295164069;4.295926532119587
Auvergne-Rhône-Alpes;60+;2020-04-03;2217;532;0.0;0.0;0.0;775;419;104.9910281685672;25.194058180278642
Auvergne-Rhône-Alpes;whole;2020-04-03;2838;725;0.0;0.0;0.0;1537;448;35.33200695136695;9.025970768055334
Auvergne-Rhône-Alpes;0-19;2020-04-04;15;1;0.0;0.0;0.0;30;0;0.7730950551294083;0.05153967034196056
Auvergne-Rhône-Alpes;20-59;2020-04-04;545;176;0.0;0.0;0.0;759;19;13.691695672544883;4.421538419023669
Auvergne-Rhône-Alpes;60+;2020-04-04;2257;553;0.0;0.0;0.0;870;448;106.88531825730995;26.188560476868588
Auvergne-Rhône-Alpes;whole;2020-04-04;2874;749;0.0;0.0;0.0;1694;478;35.78019308605659;9.324761524515097
Auvergne-Rhône-Alpes;0-19;2020-04-05;15;1;0.0;0.0;0.0;29;0;0.7730950551294083;0.05153967034196056
Auvergne-Rhône-Alpes;20-59;2020-04-05;563;187;0.0;0.0;0.0;790;24;14.143898465399579;4.697884570212648
Auvergne-Rhône-Alpes;60+;2020-04-05;2347;571;0.0;0.0;0.0;901;473;111.14747095698114;27.040991016802828
Auvergne-Rhône-Alpes;whole;2020-04-05;2983;779;0.0;0.0;0.0;1756;508;37.13720110497801;9.6982499700898
Auvergne-Rhône-Alpes;0-19;2020-04-06;14;2;0.0;0.0;0.0;30;0;0.7215553847874479;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-04-06;566;188;0.0;0.0;0.0;846;25;14.219265597542027;4.723006947593465
Auvergne-Rhône-Alpes;60+;2020-04-06;2396;575;0.0;0.0;0.0;952;518;113.46797631569103;27.230420025677102
Auvergne-Rhône-Alpes;whole;2020-04-06;3030;783;0.0;0.0;0.0;1866;555;37.72233300304505;9.748048429499761
Auvergne-Rhône-Alpes;0-19;2020-04-07;14;2;0.0;0.0;0.0;35;0;0.7215553847874479;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-04-07;511;169;0.0;0.0;0.0;942;26;12.83753484159713;4.245681777357955
Auvergne-Rhône-Alpes;60+;2020-04-07;2385;566;0.0;0.0;0.0;1106;561;112.94704654128675;26.804204755709982
Auvergne-Rhône-Alpes;whole;2020-04-07;2959;755;0.0;0.0;0.0;2125;600;36.83841034851825;9.399459213630037
Auvergne-Rhône-Alpes;0-19;2020-04-08;12;3;0.0;0.0;0.0;36;0;0.6184760441035266;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-08;469;159;0.0;0.0;0.0;1025;32;11.782394991602846;3.994458003549792
Auvergne-Rhône-Alpes;60+;2020-04-08;2382;557;0.0;0.0;0.0;1225;608;112.80497478463106;26.377989485742862
Auvergne-Rhône-Alpes;whole;2020-04-08;2908;736;0.0;0.0;0.0;2330;654;36.203479991041256;9.162916531432725
Auvergne-Rhône-Alpes;0-19;2020-04-09;11;2;0.0;0.0;0.0;39;0;0.5669363737615661;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-04-09;456;150;0.0;0.0;0.0;1075;33;11.455804085652233;3.7683566071224455
Auvergne-Rhône-Alpes;60+;2020-04-09;2449;554;0.0;0.0;0.0;1350;638;115.97791068327517;26.235917729087152
Auvergne-Rhône-Alpes;whole;2020-04-09;2962;720;0.0;0.0;0.0;2508;685;36.87575919307572;8.963722693792883
Auvergne-Rhône-Alpes;0-19;2020-04-10;13;2;0.0;0.0;0.0;40;0;0.6700157144454874;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-04-10;458;144;0.0;0.0;0.0;1121;33;11.506048840413866;3.617622342837547
Auvergne-Rhône-Alpes;60+;2020-04-10;2438;538;0.0;0.0;0.0;1481;674;115.4569809088709;25.478201693590055
Auvergne-Rhône-Alpes;whole;2020-04-10;2950;698;0.0;0.0;0.0;2691;721;36.72636381484585;8.6898311670381
Auvergne-Rhône-Alpes;0-19;2020-04-11;11;2;0.0;0.0;0.0;45;0;0.5669363737615661;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-04-11;453;141;0.0;0.0;0.0;1178;34;11.380436953509784;3.5422552106950986
Auvergne-Rhône-Alpes;60+;2020-04-11;2484;524;0.0;0.0;0.0;1581;707;117.63541451092509;24.815200162530086
Auvergne-Rhône-Alpes;whole;2020-04-11;2985;682;0.0;0.0;0.0;2857;755;37.162100334683;8.49063732939826
Auvergne-Rhône-Alpes;0-19;2020-04-12;11;2;0.0;0.0;0.0;47;0;0.5669363737615661;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-04-12;448;141;0.0;0.0;0.0;1212;35;11.254825066605703;3.5422552106950986
Auvergne-Rhône-Alpes;60+;2020-04-12;2530;516;0.0;0.0;0.0;1623;724;119.81384811297926;24.436342144781538
Auvergne-Rhône-Alpes;whole;2020-04-12;3025;674;0.0;0.0;0.0;2936;773;37.660084928782595;8.391040410578338
Auvergne-Rhône-Alpes;0-19;2020-04-13;12;2;0.0;0.0;0.0;47;0;0.6184760441035266;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-04-13;444;136;0.0;0.0;0.0;1225;35;11.154335557082439;3.416643323791017
Auvergne-Rhône-Alpes;60+;2020-04-13;2562;518;0.0;0.0;0.0;1644;745;121.32928018397345;24.531056649218677
Auvergne-Rhône-Alpes;whole;2020-04-13;3055;671;0.0;0.0;0.0;2970;794;38.0335733743573;8.353691566020867
Auvergne-Rhône-Alpes;0-19;2020-04-14;10;2;0.0;0.0;0.0;49;0;0.5153967034196055;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-04-14;429;129;0.0;0.0;0.0;1254;34;10.777499896370193;3.2407866821253033
Auvergne-Rhône-Alpes;60+;2020-04-14;2572;514;0.0;0.0;0.0;1722;788;121.80285270615913;24.341627640344402
Auvergne-Rhône-Alpes;whole;2020-04-14;3044;659;0.0;0.0;0.0;3081;836;37.89662761097991;8.204296187790987
Auvergne-Rhône-Alpes;0-19;2020-04-15;7;3;0.0;0.0;0.0;54;0;0.3607776923937239;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-15;409;123;0.0;0.0;0.0;1313;36;10.275052348753867;3.090052417840405
Auvergne-Rhône-Alpes;60+;2020-04-15;2558;501;0.0;0.0;0.0;1891;835;121.13985117509918;23.725983361503005
Auvergne-Rhône-Alpes;whole;2020-04-15;3004;639;0.0;0.0;0.0;3317;885;37.39864301688031;7.955303890741184
Auvergne-Rhône-Alpes;0-19;2020-04-16;13;3;0.0;0.0;0.0;55;0;0.6700157144454874;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-16;391;118;0.0;0.0;0.0;1363;37;9.822849555899174;2.9644405309363235
Auvergne-Rhône-Alpes;60+;2020-04-16;2535;495;0.0;0.0;0.0;1983;876;120.05063437407209;23.44183984819159
Auvergne-Rhône-Alpes;whole;2020-04-16;2970;628;0.0;0.0;0.0;3460;927;36.97535611189564;7.818358127363792
Auvergne-Rhône-Alpes;0-19;2020-04-17;15;5;0.0;0.0;0.0;56;0;0.7730950551294083;0.25769835170980276
Auvergne-Rhône-Alpes;20-59;2020-04-17;378;112;0.0;0.0;0.0;1423;39;9.496258649948562;2.8137062666514256
Auvergne-Rhône-Alpes;60+;2020-04-17;2545;473;0.0;0.0;0.0;2095;901;120.52420689625778;22.399980299383078
Auvergne-Rhône-Alpes;whole;2020-04-17;2965;601;0.0;0.0;0.0;3637;954;36.913108037633194;7.482218526346561
Auvergne-Rhône-Alpes;0-19;2020-04-18;15;5;0.0;0.0;0.0;57;0;0.7730950551294083;0.25769835170980276
Auvergne-Rhône-Alpes;20-59;2020-04-18;370;112;0.0;0.0;0.0;1462;39;9.295279630902032;2.8137062666514256
Auvergne-Rhône-Alpes;60+;2020-04-18;2532;453;0.0;0.0;0.0;2214;938;119.90856261741638;21.4528352550117
Auvergne-Rhône-Alpes;whole;2020-04-18;2942;578;0.0;0.0;0.0;3797;992;36.62676689602592;7.195877384739287
Auvergne-Rhône-Alpes;0-19;2020-04-19;17;7;0.0;0.0;0.0;57;0;0.8761743958133296;0.3607776923937239
Auvergne-Rhône-Alpes;20-59;2020-04-19;377;111;0.0;0.0;0.0;1483;40;9.471136272567746;2.7885838892706096
Auvergne-Rhône-Alpes;60+;2020-04-19;2564;447;0.0;0.0;0.0;2229;956;121.42399468841059;21.168691741700286
Auvergne-Rhône-Alpes;whole;2020-04-19;2983;573;0.0;0.0;0.0;3833;1011;37.13720110497801;7.133629310476835
Auvergne-Rhône-Alpes;0-19;2020-04-20;18;8;0.0;0.0;0.0;57;0;0.9277140661552901;0.4123173627356845
Auvergne-Rhône-Alpes;20-59;2020-04-20;370;109;0.0;0.0;0.0;1505;42;9.295279630902032;2.7383391345089767
Auvergne-Rhône-Alpes;60+;2020-04-20;2524;451;0.0;0.0;0.0;2278;1004;119.52970459966784;21.35812075057456
Auvergne-Rhône-Alpes;whole;2020-04-20;2936;576;0.0;0.0;0.0;3904;1062;36.55206920691098;7.170978155034307
Auvergne-Rhône-Alpes;0-19;2020-04-21;15;8;0.0;0.0;0.0;61;0;0.7730950551294083;0.4123173627356845
Auvergne-Rhône-Alpes;20-59;2020-04-21;356;107;0.0;0.0;0.0;1553;42;8.943566347570602;2.688094379747344
Auvergne-Rhône-Alpes;60+;2020-04-21;2477;428;0.0;0.0;0.0;2410;1044;117.3039137453951;20.26890394954748
Auvergne-Rhône-Alpes;whole;2020-04-21;2872;551;0.0;0.0;0.0;4089;1103;35.755293856351614;6.859737783722054
Auvergne-Rhône-Alpes;0-19;2020-04-22;16;8;0.0;0.0;0.0;61;0;0.824634725471369;0.4123173627356845
Auvergne-Rhône-Alpes;20-59;2020-04-22;357;102;0.0;0.0;0.0;1591;43;8.96868872495142;2.562482492843263
Auvergne-Rhône-Alpes;60+;2020-04-22;2420;398;0.0;0.0;0.0;2536;1073;114.60455036893667;18.848186382990413
Auvergne-Rhône-Alpes;whole;2020-04-22;2816;516;0.0;0.0;0.0;4253;1133;35.05811542461217;6.4240012638849
Auvergne-Rhône-Alpes;0-19;2020-04-23;13;5;0.0;0.0;0.0;65;0;0.6700157144454874;0.25769835170980276
Auvergne-Rhône-Alpes;20-59;2020-04-23;346;90;0.0;0.0;0.0;1625;44;8.69234257376244;2.261013964273467
Auvergne-Rhône-Alpes;60+;2020-04-23;2380;380;0.0;0.0;0.0;2635;1104;112.71026028019392;17.99575584305617
Auvergne-Rhône-Alpes;whole;2020-04-23;2760;483;0.0;0.0;0.0;4391;1167;34.360936992872716;6.013163973752726
Auvergne-Rhône-Alpes;0-19;2020-04-24;11;4;0.0;0.0;0.0;67;0;0.5669363737615661;0.20615868136784224
Auvergne-Rhône-Alpes;20-59;2020-04-24;329;86;0.0;0.0;0.0;1655;46;8.265262158288563;2.160524454750202
Auvergne-Rhône-Alpes;60+;2020-04-24;2355;367;0.0;0.0;0.0;2738;1126;111.5263289747297;17.380111564214776
Auvergne-Rhône-Alpes;whole;2020-04-24;2713;465;0.0;0.0;0.0;4526;1192;33.77580509480568;5.789070906407904
Auvergne-Rhône-Alpes;0-19;2020-04-25;10;3;0.0;0.0;0.0;69;0;0.5153967034196055;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-25;315;82;0.0;0.0;0.0;1684;47;7.913548874957136;2.0600349452269366
Auvergne-Rhône-Alpes;60+;2020-04-25;2338;352;0.0;0.0;0.0;2824;1145;110.72125568701402;16.669752780936243
Auvergne-Rhône-Alpes;whole;2020-04-25;2682;444;0.0;0.0;0.0;4643;1212;33.38986703437849;5.527628994505611
Auvergne-Rhône-Alpes;0-19;2020-04-26;12;3;0.0;0.0;0.0;69;0;0.6184760441035266;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-26;309;78;0.0;0.0;0.0;1696;50;7.762814610672237;1.9595454357036717
Auvergne-Rhône-Alpes;60+;2020-04-26;2353;351;0.0;0.0;0.0;2840;1156;111.43161447029256;16.622395528717675
Auvergne-Rhône-Alpes;whole;2020-04-26;2694;439;0.0;0.0;0.0;4671;1226;33.53926241260837;5.465380920243161
Auvergne-Rhône-Alpes;0-19;2020-04-27;11;3;0.0;0.0;0.0;70;0;0.5669363737615661;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-27;303;74;0.0;0.0;0.0;1651;51;7.612080346387339;1.8590559261804063
Auvergne-Rhône-Alpes;60+;2020-04-27;2330;349;0.0;0.0;0.0;2874;1184;110.34239766926548;16.527681024280536
Auvergne-Rhône-Alpes;whole;2020-04-27;2663;433;0.0;0.0;0.0;4662;1255;33.15332435218118;5.39068323112822
Auvergne-Rhône-Alpes;0-19;2020-04-28;10;3;0.0;0.0;0.0;71;0;0.5153967034196055;0.15461901102588166
Auvergne-Rhône-Alpes;20-59;2020-04-28;290;66;0.0;0.0;0.0;1655;51;7.285489440436728;1.658076907133876
Auvergne-Rhône-Alpes;60+;2020-04-28;2285;320;0.0;0.0;0.0;3001;1216;108.21132131942989;15.15432070994204
Auvergne-Rhône-Alpes;whole;2020-04-28;2603;395;0.0;0.0;0.0;4794;1287;32.40634746103177;4.917597866733596
Auvergne-Rhône-Alpes;0-19;2020-04-29;12;4;0.0;0.0;0.0;72;0;0.6184760441035266;0.20615868136784224
Auvergne-Rhône-Alpes;20-59;2020-04-29;289;66;0.0;0.0;0.0;1672;53;7.260367063055911;1.658076907133876
Auvergne-Rhône-Alpes;60+;2020-04-29;2219;308;0.0;0.0;0.0;3097;1238;105.08574267300433;14.586033683319213
Auvergne-Rhône-Alpes;whole;2020-04-29;2537;383;0.0;0.0;0.0;4909;1311;31.584672880767425;4.768202488503714
Auvergne-Rhône-Alpes;0-19;2020-04-30;11;5;0.0;0.0;0.0;74;0;0.5669363737615661;0.25769835170980276
Auvergne-Rhône-Alpes;20-59;2020-04-30;287;62;0.0;0.0;0.0;1690;53;7.210122308294279;1.557587397610611
Auvergne-Rhône-Alpes;60+;2020-04-30;2174;299;0.0;0.0;0.0;3207;1258;102.95466632316874;14.159818413352093
Auvergne-Rhône-Alpes;whole;2020-04-30;2489;371;0.0;0.0;0.0;5042;1331;30.987091367847896;4.618807110273833
Auvergne-Rhône-Alpes;0-19;2020-05-01;13;7;0.0;0.0;0.0;74;0;0.6700157144454874;0.3607776923937239
Auvergne-Rhône-Alpes;20-59;2020-05-01;277;59;0.0;0.0;0.0;1717;53;6.958898534486115;1.4822202654681618
Auvergne-Rhône-Alpes;60+;2020-05-01;2164;288;0.0;0.0;0.0;3266;1273;102.48109380098303;13.638888638947835
Auvergne-Rhône-Alpes;whole;2020-05-01;2470;359;0.0;0.0;0.0;5129;1346;30.750548685650585;4.469411732043952
Auvergne-Rhône-Alpes;0-19;2020-05-02;15;8;0.0;0.0;0.0;74;0;0.7730950551294083;0.4123173627356845
Auvergne-Rhône-Alpes;20-59;2020-05-02;274;55;0.0;0.0;0.0;1723;53;6.8835314023436664;1.3817307559448966
Auvergne-Rhône-Alpes;60+;2020-05-02;2169;291;0.0;0.0;0.0;3285;1282;102.71788006207588;13.780960395603543
Auvergne-Rhône-Alpes;whole;2020-05-02;2474;359;0.0;0.0;0.0;5154;1355;30.800347145060545;4.469411732043952
Auvergne-Rhône-Alpes;0-19;2020-05-03;16;8;0.0;0.0;0.0;74;0;0.824634725471369;0.4123173627356845
Auvergne-Rhône-Alpes;20-59;2020-05-03;276;57;0.0;0.0;0.0;1727;53;6.933776157105299;1.431975510706529
Auvergne-Rhône-Alpes;60+;2020-05-03;2174;288;0.0;0.0;0.0;3289;1291;102.95466632316874;13.638888638947835
Auvergne-Rhône-Alpes;whole;2020-05-03;2482;358;0.0;0.0;0.0;5162;1364;30.89994406388047;4.456962117191461
Auvergne-Rhône-Alpes;0-19;2020-05-04;9;5;0.0;0.0;0.0;76;0;0.46385703307764503;0.25769835170980276
Auvergne-Rhône-Alpes;20-59;2020-05-04;277;53;0.0;0.0;0.0;1737;53;6.958898534486115;1.3314860011832639
Auvergne-Rhône-Alpes;60+;2020-05-04;2138;282;0.0;0.0;0.0;3330;1313;101.24980524330026;13.354745125636423
Auvergne-Rhône-Alpes;whole;2020-05-04;2439;345;0.0;0.0;0.0;5216;1386;30.364610625223392;4.2951171241090895
Auvergne-Rhône-Alpes;0-19;2020-05-05;10;5;0.0;0.0;0.0;76;0;0.5153967034196055;0.25769835170980276
Auvergne-Rhône-Alpes;20-59;2020-05-05;273;48;0.0;0.0;0.0;1760;53;6.858409024962851;1.2058741142791825
Auvergne-Rhône-Alpes;60+;2020-05-05;2101;256;0.0;0.0;0.0;3415;1346;99.4975869112132;12.123456567953632
Auvergne-Rhône-Alpes;whole;2020-05-05;2399;314;0.0;0.0;0.0;5326;1419;29.86662603112379;3.909179063681896
Auvergne-Rhône-Alpes;0-19;2020-05-06;12;5;0.0;0.0;0.0;76;0;0.6184760441035266;0.25769835170980276
