reg;jour;three_class;P;T;pop
;;;sum;sum;sum
Corse;2020-06-24;60+;0;81;105964.0
Corse;2020-06-24;whole;1;223;344679.0
Corse;2020-06-25;0-19;0;13;68555.0
Corse;2020-06-25;20-59;0;72;170160.0
Corse;2020-06-25;60+;0;80;105964.0
Corse;2020-06-25;whole;0;165;344679.0
Corse;2020-06-26;0-19;0;19;68555.0
Corse;2020-06-26;20-59;0;124;170160.0
Corse;2020-06-26;60+;1;115;105964.0
Corse;2020-06-26;whole;1;259;344679.0
Corse;2020-06-27;0-19;0;18;68555.0
Corse;2020-06-27;20-59;0;54;170160.0
Corse;2020-06-27;60+;0;95;105964.0
Corse;2020-06-27;whole;0;167;344679.0
Corse;2020-06-28;0-19;0;3;68555.0
Corse;2020-06-28;20-59;0;21;170160.0
Corse;2020-06-28;60+;0;16;105964.0
Corse;2020-06-28;whole;0;40;344679.0
Corse;2020-06-29;0-19;0;25;68555.0
Corse;2020-06-29;20-59;1;183;170160.0
Corse;2020-06-29;60+;0;177;105964.0
Corse;2020-06-29;whole;1;385;344679.0
Corse;2020-06-30;0-19;0;22;68555.0
Corse;2020-06-30;20-59;0;125;170160.0
Corse;2020-06-30;60+;0;107;105964.0
Corse;2020-06-30;whole;0;254;344679.0
Corse;2020-07-01;0-19;0;19;68555.0
Corse;2020-07-01;20-59;0;121;170160.0
Corse;2020-07-01;60+;2;101;105964.0
Corse;2020-07-01;whole;2;241;344679.0
Corse;2020-07-02;0-19;0;28;68555.0
Corse;2020-07-02;20-59;0;79;170160.0
Corse;2020-07-02;60+;1;77;105964.0
Corse;2020-07-02;whole;1;184;344679.0
Corse;2020-07-03;0-19;0;22;68555.0
Corse;2020-07-03;20-59;0;147;170160.0
Corse;2020-07-03;60+;0;154;105964.0
Corse;2020-07-03;whole;0;323;344679.0
Corse;2020-07-04;0-19;0;8;68555.0
Corse;2020-07-04;20-59;0;81;170160.0
Corse;2020-07-04;60+;0;71;105964.0
Corse;2020-07-04;whole;0;160;344679.0
Corse;2020-07-05;0-19;0;3;68555.0
Corse;2020-07-05;20-59;0;25;170160.0
Corse;2020-07-05;60+;0;65;105964.0
Corse;2020-07-05;whole;0;93;344679.0
Corse;2020-07-06;0-19;0;26;68555.0
Corse;2020-07-06;20-59;1;162;170160.0
Corse;2020-07-06;60+;0;200;105964.0
Corse;2020-07-06;whole;1;388;344679.0
Corse;2020-07-07;0-19;0;17;68555.0
Corse;2020-07-07;20-59;0;132;170160.0
Corse;2020-07-07;60+;0;133;105964.0
Corse;2020-07-07;whole;0;282;344679.0
Corse;2020-07-08;0-19;0;24;68555.0
Corse;2020-07-08;20-59;2;148;170160.0
Corse;2020-07-08;60+;0;104;105964.0
Corse;2020-07-08;whole;2;277;344679.0
Corse;2020-07-09;0-19;0;24;68555.0
Corse;2020-07-09;20-59;1;87;170160.0
Corse;2020-07-09;60+;0;82;105964.0
Corse;2020-07-09;whole;1;193;344679.0
Corse;2020-07-10;0-19;0;49;68555.0
Corse;2020-07-10;20-59;1;206;170160.0
Corse;2020-07-10;60+;0;110;105964.0
Corse;2020-07-10;whole;1;367;344679.0
Corse;2020-07-11;0-19;0;14;68555.0
Corse;2020-07-11;20-59;1;113;170160.0
Corse;2020-07-11;60+;0;55;105964.0
Corse;2020-07-11;whole;1;182;344679.0
Corse;2020-07-12;0-19;0;5;68555.0
Corse;2020-07-12;20-59;0;26;170160.0
Corse;2020-07-12;60+;0;30;105964.0
Corse;2020-07-12;whole;0;61;344679.0
Corse;2020-07-13;0-19;1;27;68555.0
Corse;2020-07-13;20-59;4;235;170160.0
Corse;2020-07-13;60+;1;179;105964.0
Corse;2020-07-13;whole;6;443;344679.0
Corse;2020-07-14;0-19;0;4;68555.0
Corse;2020-07-14;20-59;5;55;170160.0
Corse;2020-07-14;60+;0;30;105964.0
Corse;2020-07-14;whole;5;89;344679.0
Corse;2020-07-15;0-19;1;38;68555.0
Corse;2020-07-15;20-59;2;168;170160.0
Corse;2020-07-15;60+;0;158;105964.0
Corse;2020-07-15;whole;3;364;344679.0
Corse;2020-07-16;0-19;0;44;68555.0
Corse;2020-07-16;20-59;2;176;170160.0
Corse;2020-07-16;60+;0;118;105964.0
Corse;2020-07-16;whole;2;338;344679.0
Corse;2020-07-17;0-19;0;52;68555.0
Corse;2020-07-17;20-59;2;232;170160.0
Corse;2020-07-17;60+;0;198;105964.0
Corse;2020-07-17;whole;2;483;344679.0
Corse;2020-07-18;0-19;0;22;68555.0
Corse;2020-07-18;20-59;0;149;170160.0
Corse;2020-07-18;60+;1;91;105964.0
Corse;2020-07-18;whole;1;262;344679.0
Corse;2020-07-19;0-19;0;5;68555.0
Corse;2020-07-19;20-59;0;28;170160.0
Corse;2020-07-19;60+;0;24;105964.0
Corse;2020-07-19;whole;0;57;344679.0
Corse;2020-07-20;0-19;0;58;68555.0
Corse;2020-07-20;20-59;0;272;170160.0
Corse;2020-07-20;60+;0;210;105964.0
Corse;2020-07-20;whole;0;542;344679.0
Corse;2020-07-21;0-19;0;44;68555.0
Corse;2020-07-21;20-59;0;195;170160.0
Corse;2020-07-21;60+;1;146;105964.0
Corse;2020-07-21;whole;1;386;344679.0
Corse;2020-07-22;0-19;0;51;68555.0
Corse;2020-07-22;20-59;1;277;170160.0
Corse;2020-07-22;60+;0;140;105964.0
Corse;2020-07-22;whole;1;469;344679.0
Corse;2020-07-23;0-19;0;36;68555.0
Corse;2020-07-23;20-59;0;272;170160.0
Corse;2020-07-23;60+;0;132;105964.0
Corse;2020-07-23;whole;0;442;344679.0
Corse;2020-07-24;0-19;0;53;68555.0
Corse;2020-07-24;20-59;0;205;170160.0
Corse;2020-07-24;60+;0;161;105964.0
Corse;2020-07-24;whole;0;421;344679.0
Corse;2020-07-25;0-19;0;17;68555.0
Corse;2020-07-25;20-59;0;93;170160.0
Corse;2020-07-25;60+;1;94;105964.0
Corse;2020-07-25;whole;1;206;344679.0
Corse;2020-07-26;0-19;0;5;68555.0
Corse;2020-07-26;20-59;0;32;170160.0
Corse;2020-07-26;60+;0;27;105964.0
Corse;2020-07-26;whole;0;64;344679.0
Corse;2020-07-27;0-19;0;54;68555.0
Corse;2020-07-27;20-59;0;366;170160.0
Corse;2020-07-27;60+;1;247;105964.0
Corse;2020-07-27;whole;1;667;344679.0
Corse;2020-07-28;0-19;0;58;68555.0
Corse;2020-07-28;20-59;1;233;170160.0
Corse;2020-07-28;60+;0;136;105964.0
Corse;2020-07-28;whole;1;429;344679.0
Corse;2020-07-29;0-19;1;60;68555.0
Corse;2020-07-29;20-59;0;302;170160.0
Corse;2020-07-29;60+;0;226;105964.0
Corse;2020-07-29;whole;1;591;344679.0
Corse;2020-07-30;0-19;0;61;68555.0
Corse;2020-07-30;20-59;0;289;170160.0
Corse;2020-07-30;60+;0;152;105964.0
Corse;2020-07-30;whole;0;503;344679.0
Corse;2020-07-31;0-19;0;72;68555.0
Corse;2020-07-31;20-59;1;321;170160.0
Corse;2020-07-31;60+;2;165;105964.0
Corse;2020-07-31;whole;3;558;344679.0
Corse;2020-08-01;0-19;0;17;68555.0
Corse;2020-08-01;20-59;0;133;170160.0
Corse;2020-08-01;60+;0;113;105964.0
Corse;2020-08-01;whole;0;263;344679.0
Corse;2020-08-02;0-19;0;6;68555.0
Corse;2020-08-02;20-59;1;25;170160.0
Corse;2020-08-02;60+;0;28;105964.0
Corse;2020-08-02;whole;1;59;344679.0
Corse;2020-08-03;0-19;0;81;68555.0
Corse;2020-08-03;20-59;3;315;170160.0
Corse;2020-08-03;60+;0;174;105964.0
Corse;2020-08-03;whole;3;572;344679.0
Corse;2020-08-04;0-19;0;54;68555.0
Corse;2020-08-04;20-59;5;277;170160.0
Corse;2020-08-04;60+;1;148;105964.0
Corse;2020-08-04;whole;6;480;344679.0
Corse;2020-08-05;0-19;1;39;68555.0
Corse;2020-08-05;20-59;1;207;170160.0
Corse;2020-08-05;60+;0;135;105964.0
Corse;2020-08-05;whole;2;381;344679.0
Corse;2020-08-06;0-19;1;70;68555.0
Corse;2020-08-06;20-59;3;410;170160.0
Corse;2020-08-06;60+;0;186;105964.0
Corse;2020-08-06;whole;4;667;344679.0
Corse;2020-08-07;0-19;1;62;68555.0
Corse;2020-08-07;20-59;0;416;170160.0
Corse;2020-08-07;60+;1;202;105964.0
Corse;2020-08-07;whole;2;680;344679.0
Corse;2020-08-08;0-19;0;23;68555.0
Corse;2020-08-08;20-59;1;100;170160.0
Corse;2020-08-08;60+;0;81;105964.0
Corse;2020-08-08;whole;1;205;344679.0
Corse;2020-08-09;0-19;0;6;68555.0
Corse;2020-08-09;20-59;0;44;170160.0
Corse;2020-08-09;60+;1;27;105964.0
Corse;2020-08-09;whole;1;77;344679.0
Corse;2020-08-10;0-19;0;74;68555.0
Corse;2020-08-10;20-59;3;354;170160.0
Corse;2020-08-10;60+;1;195;105964.0
Corse;2020-08-10;whole;4;628;344679.0
Corse;2020-08-11;0-19;0;50;68555.0
Corse;2020-08-11;20-59;1;304;170160.0
Corse;2020-08-11;60+;0;148;105964.0
Corse;2020-08-11;whole;1;503;344679.0
Corse;2020-08-12;0-19;0;60;68555.0
Corse;2020-08-12;20-59;4;325;170160.0
Corse;2020-08-12;60+;0;154;105964.0
Corse;2020-08-12;whole;4;539;344679.0
Corse;2020-08-13;0-19;0;51;68555.0
Corse;2020-08-13;20-59;1;340;170160.0
Corse;2020-08-13;60+;0;166;105964.0
Corse;2020-08-13;whole;1;557;344679.0
Corse;2020-08-14;0-19;2;85;68555.0
Corse;2020-08-14;20-59;3;401;170160.0
Corse;2020-08-14;60+;1;194;105964.0
Corse;2020-08-14;whole;6;681;344679.0
Corse;2020-08-15;0-19;0;10;68555.0
Corse;2020-08-15;20-59;0;40;170160.0
Corse;2020-08-15;60+;0;34;105964.0
Corse;2020-08-15;whole;0;84;344679.0
Corse;2020-08-16;0-19;0;4;68555.0
Corse;2020-08-16;20-59;0;31;170160.0
Corse;2020-08-16;60+;0;31;105964.0
Corse;2020-08-16;whole;0;66;344679.0
Corse;2020-08-17;0-19;1;119;68555.0
Corse;2020-08-17;20-59;7;389;170160.0
Corse;2020-08-17;60+;1;181;105964.0
Corse;2020-08-17;whole;9;689;344679.0
Corse;2020-08-18;0-19;1;92;68555.0
Corse;2020-08-18;20-59;3;461;170160.0
Corse;2020-08-18;60+;2;301;105964.0
Corse;2020-08-18;whole;6;854;344679.0
Corse;2020-08-19;0-19;0;103;68555.0
Corse;2020-08-19;20-59;4;398;170160.0
Corse;2020-08-19;60+;3;154;105964.0
Corse;2020-08-19;whole;7;655;344679.0
Corse;2020-08-20;0-19;1;73;68555.0
Corse;2020-08-20;20-59;6;359;170160.0
Corse;2020-08-20;60+;0;134;105964.0
Corse;2020-08-20;whole;7;567;344679.0
Corse;2020-08-21;0-19;0;83;68555.0
Corse;2020-08-21;20-59;6;432;170160.0
Corse;2020-08-21;60+;0;218;105964.0
Corse;2020-08-21;whole;6;735;344679.0
Corse;2020-08-22;0-19;2;25;68555.0
Corse;2020-08-22;20-59;3;165;170160.0
Corse;2020-08-22;60+;0;87;105964.0
Corse;2020-08-22;whole;5;278;344679.0
Corse;2020-08-23;0-19;0;3;68555.0
Corse;2020-08-23;20-59;0;23;170160.0
Corse;2020-08-23;60+;0;29;105964.0
Corse;2020-08-23;whole;0;55;344679.0
Corse;2020-08-24;0-19;5;112;68555.0
Corse;2020-08-24;20-59;25;537;170160.0
Corse;2020-08-24;60+;2;232;105964.0
Corse;2020-08-24;whole;32;882;344679.0
Corse;2020-08-25;0-19;1;101;68555.0
Corse;2020-08-25;20-59;19;656;170160.0
Corse;2020-08-25;60+;2;222;105964.0
Corse;2020-08-25;whole;22;979;344679.0
Corse;2020-08-26;0-19;5;173;68555.0
Corse;2020-08-26;20-59;29;764;170160.0
Corse;2020-08-26;60+;2;230;105964.0
Corse;2020-08-26;whole;36;1167;344679.0
Corse;2020-08-27;0-19;7;196;68555.0
Corse;2020-08-27;20-59;39;812;170160.0
Corse;2020-08-27;60+;4;199;105964.0
Corse;2020-08-27;whole;50;1209;344679.0
Corse;2020-08-28;0-19;6;215;68555.0
Corse;2020-08-28;20-59;32;915;170160.0
Corse;2020-08-28;60+;7;362;105964.0
Corse;2020-08-28;whole;45;1493;344679.0
Corse;2020-08-29;0-19;2;52;68555.0
Corse;2020-08-29;20-59;8;288;170160.0
Corse;2020-08-29;60+;2;122;105964.0
Corse;2020-08-29;whole;12;463;344679.0
Corse;2020-08-30;0-19;0;15;68555.0
Corse;2020-08-30;20-59;5;83;170160.0
Corse;2020-08-30;60+;0;56;105964.0
Corse;2020-08-30;whole;5;154;344679.0
Corse;2020-08-31;0-19;8;249;68555.0
Corse;2020-08-31;20-59;38;1230;170160.0
Corse;2020-08-31;60+;8;414;105964.0
Corse;2020-08-31;whole;54;1895;344679.0
Corse;2020-09-01;0-19;5;194;68555.0
Corse;2020-09-01;20-59;47;1120;170160.0
Corse;2020-09-01;60+;10;309;105964.0
Corse;2020-09-01;whole;62;1623;344679.0
Corse;2020-09-02;0-19;6;192;68555.0
Corse;2020-09-02;20-59;36;1103;170160.0
Corse;2020-09-02;60+;13;419;105964.0
Corse;2020-09-02;whole;55;1714;344679.0
Corse;2020-09-03;0-19;9;160;68555.0
Corse;2020-09-03;20-59;50;1153;170160.0
Corse;2020-09-03;60+;6;394;105964.0
Corse;2020-09-03;whole;65;1707;344679.0
Corse;2020-09-04;0-19;8;190;68555.0
Corse;2020-09-04;20-59;47;1265;170160.0
Corse;2020-09-04;60+;7;410;105964.0
Corse;2020-09-04;whole;62;1866;344679.0
Corse;2020-09-05;0-19;1;65;68555.0
Corse;2020-09-05;20-59;13;349;170160.0
Corse;2020-09-05;60+;5;130;105964.0
Corse;2020-09-05;whole;19;544;344679.0
Corse;2020-09-06;0-19;1;8;68555.0
Corse;2020-09-06;20-59;2;79;170160.0
Corse;2020-09-06;60+;1;66;105964.0
Corse;2020-09-06;whole;4;153;344679.0
Corse;2020-09-07;0-19;8;206;68555.0
Corse;2020-09-07;20-59;66;1335;170160.0
Corse;2020-09-07;60+;17;510;105964.0
Corse;2020-09-07;whole;91;2051;344679.0
Corse;2020-09-08;0-19;9;214;68555.0
Corse;2020-09-08;20-59;31;1211;170160.0
Corse;2020-09-08;60+;7;492;105964.0
Corse;2020-09-08;whole;47;1919;344679.0
Corse;2020-09-09;0-19;12;247;68555.0
Corse;2020-09-09;20-59;31;1148;170160.0
Corse;2020-09-09;60+;8;350;105964.0
Corse;2020-09-09;whole;51;1745;344679.0
Corse;2020-09-10;0-19;7;250;68555.0
Corse;2020-09-10;20-59;36;1104;170160.0
Corse;2020-09-10;60+;5;363;105964.0
Corse;2020-09-10;whole;48;1718;344679.0
Corse;2020-09-11;0-19;5;286;68555.0
Corse;2020-09-11;20-59;29;1094;170160.0
Corse;2020-09-11;60+;7;471;105964.0
Corse;2020-09-11;whole;41;1852;344679.0
Corse;2020-09-12;0-19;4;99;68555.0
Corse;2020-09-12;20-59;15;377;170160.0
Corse;2020-09-12;60+;7;164;105964.0
Corse;2020-09-12;whole;26;641;344679.0
Corse;2020-09-13;0-19;1;17;68555.0
Corse;2020-09-13;20-59;2;86;170160.0
Corse;2020-09-13;60+;4;77;105964.0
Corse;2020-09-13;whole;7;180;344679.0
Corse;2020-09-14;0-19;8;351;68555.0
Corse;2020-09-14;20-59;33;1077;170160.0
Corse;2020-09-14;60+;6;507;105964.0
Corse;2020-09-14;whole;47;1936;344679.0
Corse;2020-09-15;0-19;4;352;68555.0
Corse;2020-09-15;20-59;23;1028;170160.0
Corse;2020-09-15;60+;9;430;105964.0
Corse;2020-09-15;whole;36;1811;344679.0
Corse;2020-09-16;0-19;7;279;68555.0
Corse;2020-09-16;20-59;28;867;170160.0
Corse;2020-09-16;60+;12;343;105964.0
Corse;2020-09-16;whole;47;1489;344679.0
Corse;2020-09-17;0-19;4;262;68555.0
Corse;2020-09-17;20-59;24;884;170160.0
Corse;2020-09-17;60+;13;393;105964.0
Corse;2020-09-17;whole;41;1541;344679.0
Corse;2020-09-18;0-19;3;286;68555.0
Corse;2020-09-18;20-59;21;793;170160.0
Corse;2020-09-18;60+;9;298;105964.0
Corse;2020-09-18;whole;33;1380;344679.0
Corse;2020-09-19;0-19;2;71;68555.0
Corse;2020-09-19;20-59;10;207;170160.0
Corse;2020-09-19;60+;1;113;105964.0
Corse;2020-09-19;whole;13;391;344679.0
Corse;2020-09-20;0-19;1;15;68555.0
Corse;2020-09-20;20-59;2;85;170160.0
Corse;2020-09-20;60+;1;74;105964.0
Corse;2020-09-20;whole;4;174;344679.0
Corse;2020-09-21;0-19;4;200;68555.0
Corse;2020-09-21;20-59;33;746;170160.0
Corse;2020-09-21;60+;14;392;105964.0
Corse;2020-09-21;whole;51;1338;344679.0
Corse;2020-09-22;0-19;8;257;68555.0
Corse;2020-09-22;20-59;11;692;170160.0
Corse;2020-09-22;60+;6;297;105964.0
Corse;2020-09-22;whole;25;1246;344679.0
Corse;2020-09-23;0-19;6;201;68555.0
Corse;2020-09-23;20-59;19;715;170160.0
Corse;2020-09-23;60+;4;242;105964.0
Corse;2020-09-23;whole;29;1162;344679.0
Corse;2020-09-24;0-19;9;173;68555.0
Corse;2020-09-24;20-59;29;638;170160.0
Corse;2020-09-24;60+;7;278;105964.0
Corse;2020-09-24;whole;45;1090;344679.0
Corse;2020-09-25;0-19;4;136;68555.0
Corse;2020-09-25;20-59;15;682;170160.0
Corse;2020-09-25;60+;11;326;105964.0
Corse;2020-09-25;whole;30;1145;344679.0
Corse;2020-09-26;0-19;1;51;68555.0
Corse;2020-09-26;20-59;3;237;170160.0
Corse;2020-09-26;60+;0;150;105964.0
Corse;2020-09-26;whole;4;438;344679.0
Corse;2020-09-27;0-19;0;7;68555.0
Corse;2020-09-27;20-59;1;36;170160.0
Corse;2020-09-27;60+;1;47;105964.0
Corse;2020-09-27;whole;2;90;344679.0
Corse;2020-09-28;0-19;3;154;68555.0
Corse;2020-09-28;20-59;14;626;170160.0
Corse;2020-09-28;60+;7;379;105964.0
Corse;2020-09-28;whole;24;1161;344679.0
Corse;2020-09-29;0-19;1;165;68555.0
Corse;2020-09-29;20-59;14;644;170160.0
Corse;2020-09-29;60+;13;275;105964.0
Corse;2020-09-29;whole;28;1085;344679.0
Corse;2020-09-30;0-19;2;168;68555.0
Corse;2020-09-30;20-59;15;577;170160.0
Corse;2020-09-30;60+;1;223;105964.0
Corse;2020-09-30;whole;18;968;344679.0
Corse;2020-10-01;0-19;3;164;68555.0
Corse;2020-10-01;20-59;22;675;170160.0
Corse;2020-10-01;60+;6;242;105964.0
Corse;2020-10-01;whole;31;1083;344679.0
Corse;2020-10-02;0-19;5;144;68555.0
Corse;2020-10-02;20-59;19;662;170160.0
Corse;2020-10-02;60+;6;352;105964.0
Corse;2020-10-02;whole;30;1159;344679.0
Corse;2020-10-03;0-19;1;48;68555.0
Corse;2020-10-03;20-59;5;203;170160.0
Corse;2020-10-03;60+;1;175;105964.0
Corse;2020-10-03;whole;7;426;344679.0
Corse;2020-10-04;0-19;2;11;68555.0
Corse;2020-10-04;20-59;4;49;170160.0
Corse;2020-10-04;60+;0;41;105964.0
Corse;2020-10-04;whole;6;101;344679.0
Corse;2020-10-05;0-19;3;154;68555.0
Corse;2020-10-05;20-59;28;758;170160.0
Corse;2020-10-05;60+;12;407;105964.0
Corse;2020-10-05;whole;43;1321;344679.0
Corse;2020-10-06;0-19;2;148;68555.0
Corse;2020-10-06;20-59;30;572;170160.0
Corse;2020-10-06;60+;15;306;105964.0
Corse;2020-10-06;whole;48;1027;344679.0
Corse;2020-10-07;0-19;9;145;68555.0
Corse;2020-10-07;20-59;29;627;170160.0
Corse;2020-10-07;60+;13;260;105964.0
Corse;2020-10-07;whole;51;1033;344679.0
Corse;2020-10-08;0-19;5;140;68555.0
Corse;2020-10-08;20-59;44;584;170160.0
Corse;2020-10-08;60+;14;312;105964.0
Corse;2020-10-08;whole;63;1038;344679.0
Corse;2020-10-09;0-19;8;147;68555.0
Corse;2020-10-09;20-59;50;774;170160.0
Corse;2020-10-09;60+;14;381;105964.0
Corse;2020-10-09;whole;72;1305;344679.0
Corse;2020-10-10;0-19;0;48;68555.0
Corse;2020-10-10;20-59;20;272;170160.0
Corse;2020-10-10;60+;4;158;105964.0
Corse;2020-10-10;whole;24;481;344679.0
Corse;2020-10-11;0-19;1;10;68555.0
Corse;2020-10-11;20-59;1;49;170160.0
Corse;2020-10-11;60+;2;49;105964.0
Corse;2020-10-11;whole;4;109;344679.0
Corse;2020-10-12;0-19;17;234;68555.0
Corse;2020-10-12;20-59;81;952;170160.0
Corse;2020-10-12;60+;32;479;105964.0
Corse;2020-10-12;whole;130;1667;344679.0
Corse;2020-10-13;0-19;13;192;68555.0
Corse;2020-10-13;20-59;89;846;170160.0
Corse;2020-10-13;60+;30;396;105964.0
Corse;2020-10-13;whole;132;1434;344679.0
Corse;2020-10-14;0-19;11;263;68555.0
Corse;2020-10-14;20-59;88;915;170160.0
Corse;2020-10-14;60+;24;303;105964.0
Corse;2020-10-14;whole;123;1483;344679.0
Corse;2020-10-15;0-19;14;224;68555.0
Corse;2020-10-15;20-59;106;1142;170160.0
Corse;2020-10-15;60+;32;406;105964.0
Corse;2020-10-15;whole;152;1776;344679.0
Corse;2020-10-16;0-19;13;307;68555.0
Corse;2020-10-16;20-59;78;1235;170160.0
Corse;2020-10-16;60+;30;495;105964.0
Corse;2020-10-16;whole;121;2037;344679.0
Corse;2020-10-17;0-19;3;111;68555.0
Corse;2020-10-17;20-59;25;370;170160.0
Corse;2020-10-17;60+;12;203;105964.0
Corse;2020-10-17;whole;40;685;344679.0
Corse;2020-10-18;0-19;0;17;68555.0
Corse;2020-10-18;20-59;8;111;170160.0
Corse;2020-10-18;60+;2;90;105964.0
Corse;2020-10-18;whole;10;218;344679.0
Corse;2020-10-19;0-19;21;303;68555.0
Corse;2020-10-19;20-59;100;1416;170160.0
Corse;2020-10-19;60+;36;604;105964.0
Corse;2020-10-19;whole;158;2324;344679.0
Corse;2020-10-20;0-19;14;213;68555.0
Corse;2020-10-20;20-59;118;1296;170160.0
Corse;2020-10-20;60+;43;460;105964.0
Corse;2020-10-20;whole;175;1971;344679.0
Corse;2020-10-21;0-19;17;255;68555.0
Corse;2020-10-21;20-59;92;1265;170160.0
Corse;2020-10-21;60+;48;426;105964.0
Corse;2020-10-21;whole;157;1947;344679.0
Corse;2020-10-22;0-19;14;232;68555.0
Corse;2020-10-22;20-59;102;1409;170160.0
Corse;2020-10-22;60+;40;464;105964.0
Corse;2020-10-22;whole;156;2106;344679.0
Corse;2020-10-23;0-19;13;252;68555.0
Corse;2020-10-23;20-59;119;1433;170160.0
Corse;2020-10-23;60+;72;595;105964.0
Corse;2020-10-23;whole;204;2284;344679.0
Corse;2020-10-24;0-19;10;111;68555.0
Corse;2020-10-24;20-59;40;459;170160.0
Corse;2020-10-24;60+;10;240;105964.0
Corse;2020-10-24;whole;60;810;344679.0
Corse;2020-10-25;0-19;1;23;68555.0
Corse;2020-10-25;20-59;6;97;170160.0
Corse;2020-10-25;60+;5;77;105964.0
Corse;2020-10-25;whole;12;197;344679.0
Corse;2020-10-26;0-19;23;269;68555.0
Corse;2020-10-26;20-59;196;1666;170160.0
Corse;2020-10-26;60+;60;749;105964.0
Corse;2020-10-26;whole;279;2685;344679.0
Corse;2020-10-27;0-19;32;268;68555.0
Corse;2020-10-27;20-59;169;1482;170160.0
Corse;2020-10-27;60+;47;589;105964.0
Corse;2020-10-27;whole;249;2340;344679.0
Corse;2020-10-28;0-19;27;226;68555.0
Corse;2020-10-28;20-59;143;1468;170160.0
Corse;2020-10-28;60+;48;572;105964.0
Corse;2020-10-28;whole;220;2271;344679.0
Corse;2020-10-29;0-19;37;228;68555.0
Corse;2020-10-29;20-59;137;1493;170160.0
Corse;2020-10-29;60+;65;594;105964.0
Corse;2020-10-29;whole;240;2318;344679.0
Corse;2020-10-30;0-19;43;304;68555.0
Corse;2020-10-30;20-59;219;1719;170160.0
Corse;2020-10-30;60+;82;599;105964.0
Corse;2020-10-30;whole;345;2624;344679.0
Corse;2020-10-31;0-19;3;82;68555.0
Corse;2020-10-31;20-59;50;504;170160.0
Corse;2020-10-31;60+;17;293;105964.0
Corse;2020-10-31;whole;70;881;344679.0
Corse;2020-11-01;0-19;1;24;68555.0
Corse;2020-11-01;20-59;7;114;170160.0
Corse;2020-11-01;60+;8;119;105964.0
Corse;2020-11-01;whole;16;257;344679.0
Corse;2020-11-02;0-19;30;349;68555.0
Corse;2020-11-02;20-59;205;1912;170160.0
Corse;2020-11-02;60+;57;740;105964.0
Corse;2020-11-02;whole;292;3001;344679.0
Corse;2020-11-03;0-19;40;338;68555.0
Corse;2020-11-03;20-59;118;1802;170160.0
Corse;2020-11-03;60+;52;739;105964.0
Corse;2020-11-03;whole;210;2881;344679.0
Corse;2020-11-04;0-19;24;352;68555.0
Corse;2020-11-04;20-59;97;1636;170160.0
Corse;2020-11-04;60+;40;602;105964.0
Corse;2020-11-04;whole;161;2590;344679.0
Corse;2020-11-05;0-19;28;341;68555.0
Corse;2020-11-05;20-59;113;1676;170160.0
Corse;2020-11-05;60+;45;624;105964.0
Corse;2020-11-05;whole;186;2641;344679.0
Corse;2020-11-06;0-19;20;288;68555.0
Corse;2020-11-06;20-59;62;1436;170160.0
Corse;2020-11-06;60+;27;643;105964.0
Corse;2020-11-06;whole;109;2367;344679.0
Corse;2020-11-07;0-19;5;87;68555.0
Corse;2020-11-07;20-59;23;402;170160.0
Corse;2020-11-07;60+;11;217;105964.0
Corse;2020-11-07;whole;39;706;344679.0
Corse;2020-11-08;0-19;0;17;68555.0
Corse;2020-11-08;20-59;5;84;170160.0
Corse;2020-11-08;60+;3;69;105964.0
Corse;2020-11-08;whole;8;170;344679.0
Corse;2020-11-09;0-19;18;335;68555.0
Corse;2020-11-09;20-59;76;1408;170160.0
Corse;2020-11-09;60+;29;580;105964.0
Corse;2020-11-09;whole;123;2323;344679.0
Corse;2020-11-10;0-19;6;250;68555.0
Corse;2020-11-10;20-59;45;1294;170160.0
Corse;2020-11-10;60+;38;593;105964.0
Corse;2020-11-10;whole;89;2140;344679.0
Corse;2020-11-11;0-19;0;13;68555.0
Corse;2020-11-11;20-59;2;86;170160.0
Corse;2020-11-11;60+;4;78;105964.0
Corse;2020-11-11;whole;6;177;344679.0
Corse;2020-11-12;0-19;16;332;68555.0
Corse;2020-11-12;20-59;50;1367;170160.0
Corse;2020-11-12;60+;37;507;105964.0
Corse;2020-11-12;whole;103;2207;344679.0
Corse;2020-11-13;0-19;10;235;68555.0
Corse;2020-11-13;20-59;43;999;170160.0
Corse;2020-11-13;60+;8;542;105964.0
Corse;2020-11-13;whole;61;1776;344679.0
Corse;2020-11-14;0-19;1;68;68555.0
Corse;2020-11-14;20-59;7;307;170160.0
Corse;2020-11-14;60+;8;222;105964.0
Corse;2020-11-14;whole;16;597;344679.0
Corse;2020-11-15;0-19;0;4;68555.0
Corse;2020-11-15;20-59;0;65;170160.0
Corse;2020-11-15;60+;1;68;105964.0
Corse;2020-11-15;whole;1;137;344679.0
Corse;2020-11-16;0-19;10;193;68555.0
Corse;2020-11-16;20-59;36;993;170160.0
Corse;2020-11-16;60+;18;596;105964.0
Corse;2020-11-16;whole;64;1783;344679.0
Corse;2020-11-17;0-19;4;148;68555.0
Corse;2020-11-17;20-59;21;801;170160.0
Corse;2020-11-17;60+;14;443;105964.0
Corse;2020-11-17;whole;39;1392;344679.0
Corse;2020-11-18;0-19;2;111;68555.0
Corse;2020-11-18;20-59;12;583;170160.0
Corse;2020-11-18;60+;5;315;105964.0
Corse;2020-11-18;whole;19;1011;344679.0
