reg;jour;three_class;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-06-03;20-59;17;2128;3980515.0
Auvergne-Rhône-Alpes;2020-06-03;60+;18;1613;2111609.0
Auvergne-Rhône-Alpes;2020-06-03;whole;38;4310;8032377.0
Auvergne-Rhône-Alpes;2020-06-04;0-19;0;535;1940253.0
Auvergne-Rhône-Alpes;2020-06-04;20-59;14;2011;3980515.0
Auvergne-Rhône-Alpes;2020-06-04;60+;13;1467;2111609.0
Auvergne-Rhône-Alpes;2020-06-04;whole;27;4013;8032377.0
Auvergne-Rhône-Alpes;2020-06-05;0-19;3;654;1940253.0
Auvergne-Rhône-Alpes;2020-06-05;20-59;13;2184;3980515.0
Auvergne-Rhône-Alpes;2020-06-05;60+;10;1690;2111609.0
Auvergne-Rhône-Alpes;2020-06-05;whole;27;4530;8032377.0
Auvergne-Rhône-Alpes;2020-06-06;0-19;2;296;1940253.0
Auvergne-Rhône-Alpes;2020-06-06;20-59;10;1036;3980515.0
Auvergne-Rhône-Alpes;2020-06-06;60+;7;858;2111609.0
Auvergne-Rhône-Alpes;2020-06-06;whole;20;2192;8032377.0
Auvergne-Rhône-Alpes;2020-06-07;0-19;1;80;1940253.0
Auvergne-Rhône-Alpes;2020-06-07;20-59;2;283;3980515.0
Auvergne-Rhône-Alpes;2020-06-07;60+;4;349;2111609.0
Auvergne-Rhône-Alpes;2020-06-07;whole;7;712;8032377.0
Auvergne-Rhône-Alpes;2020-06-08;0-19;2;527;1940253.0
Auvergne-Rhône-Alpes;2020-06-08;20-59;19;2003;3980515.0
Auvergne-Rhône-Alpes;2020-06-08;60+;18;1908;2111609.0
Auvergne-Rhône-Alpes;2020-06-08;whole;39;4441;8032377.0
Auvergne-Rhône-Alpes;2020-06-09;0-19;2;550;1940253.0
Auvergne-Rhône-Alpes;2020-06-09;20-59;11;1937;3980515.0
Auvergne-Rhône-Alpes;2020-06-09;60+;12;1494;2111609.0
Auvergne-Rhône-Alpes;2020-06-09;whole;25;3982;8032377.0
Auvergne-Rhône-Alpes;2020-06-10;0-19;2;481;1940253.0
Auvergne-Rhône-Alpes;2020-06-10;20-59;17;1939;3980515.0
Auvergne-Rhône-Alpes;2020-06-10;60+;14;1433;2111609.0
Auvergne-Rhône-Alpes;2020-06-10;whole;33;3853;8032377.0
Auvergne-Rhône-Alpes;2020-06-11;0-19;11;472;1940253.0
Auvergne-Rhône-Alpes;2020-06-11;20-59;19;1779;3980515.0
Auvergne-Rhône-Alpes;2020-06-11;60+;21;1208;2111609.0
Auvergne-Rhône-Alpes;2020-06-11;whole;51;3461;8032377.0
Auvergne-Rhône-Alpes;2020-06-12;0-19;11;556;1940253.0
Auvergne-Rhône-Alpes;2020-06-12;20-59;20;1953;3980515.0
Auvergne-Rhône-Alpes;2020-06-12;60+;10;1538;2111609.0
Auvergne-Rhône-Alpes;2020-06-12;whole;41;4048;8032377.0
Auvergne-Rhône-Alpes;2020-06-13;0-19;0;306;1940253.0
Auvergne-Rhône-Alpes;2020-06-13;20-59;6;1020;3980515.0
Auvergne-Rhône-Alpes;2020-06-13;60+;1;878;2111609.0
Auvergne-Rhône-Alpes;2020-06-13;whole;7;2204;8032377.0
Auvergne-Rhône-Alpes;2020-06-14;0-19;0;53;1940253.0
Auvergne-Rhône-Alpes;2020-06-14;20-59;5;289;3980515.0
Auvergne-Rhône-Alpes;2020-06-14;60+;5;365;2111609.0
Auvergne-Rhône-Alpes;2020-06-14;whole;10;707;8032377.0
Auvergne-Rhône-Alpes;2020-06-15;0-19;10;486;1940253.0
Auvergne-Rhône-Alpes;2020-06-15;20-59;15;2094;3980515.0
Auvergne-Rhône-Alpes;2020-06-15;60+;8;1866;2111609.0
Auvergne-Rhône-Alpes;2020-06-15;whole;33;4447;8032377.0
Auvergne-Rhône-Alpes;2020-06-16;0-19;6;551;1940253.0
Auvergne-Rhône-Alpes;2020-06-16;20-59;17;2069;3980515.0
Auvergne-Rhône-Alpes;2020-06-16;60+;6;1690;2111609.0
Auvergne-Rhône-Alpes;2020-06-16;whole;29;4311;8032377.0
Auvergne-Rhône-Alpes;2020-06-17;0-19;10;536;1940253.0
Auvergne-Rhône-Alpes;2020-06-17;20-59;26;1964;3980515.0
Auvergne-Rhône-Alpes;2020-06-17;60+;5;1549;2111609.0
Auvergne-Rhône-Alpes;2020-06-17;whole;41;4050;8032377.0
Auvergne-Rhône-Alpes;2020-06-18;0-19;8;539;1940253.0
Auvergne-Rhône-Alpes;2020-06-18;20-59;20;1886;3980515.0
Auvergne-Rhône-Alpes;2020-06-18;60+;9;1207;2111609.0
Auvergne-Rhône-Alpes;2020-06-18;whole;37;3634;8032377.0
Auvergne-Rhône-Alpes;2020-06-19;0-19;9;625;1940253.0
Auvergne-Rhône-Alpes;2020-06-19;20-59;21;2140;3980515.0
Auvergne-Rhône-Alpes;2020-06-19;60+;10;1582;2111609.0
Auvergne-Rhône-Alpes;2020-06-19;whole;40;4348;8032377.0
Auvergne-Rhône-Alpes;2020-06-20;0-19;9;315;1940253.0
Auvergne-Rhône-Alpes;2020-06-20;20-59;10;947;3980515.0
Auvergne-Rhône-Alpes;2020-06-20;60+;9;926;2111609.0
Auvergne-Rhône-Alpes;2020-06-20;whole;28;2189;8032377.0
Auvergne-Rhône-Alpes;2020-06-21;0-19;1;52;1940253.0
Auvergne-Rhône-Alpes;2020-06-21;20-59;1;224;3980515.0
Auvergne-Rhône-Alpes;2020-06-21;60+;0;393;2111609.0
Auvergne-Rhône-Alpes;2020-06-21;whole;2;669;8032377.0
Auvergne-Rhône-Alpes;2020-06-22;0-19;8;717;1940253.0
Auvergne-Rhône-Alpes;2020-06-22;20-59;14;2317;3980515.0
Auvergne-Rhône-Alpes;2020-06-22;60+;10;1926;2111609.0
Auvergne-Rhône-Alpes;2020-06-22;whole;32;4960;8032377.0
Auvergne-Rhône-Alpes;2020-06-23;0-19;6;771;1940253.0
Auvergne-Rhône-Alpes;2020-06-23;20-59;17;2442;3980515.0
Auvergne-Rhône-Alpes;2020-06-23;60+;10;1844;2111609.0
Auvergne-Rhône-Alpes;2020-06-23;whole;33;5057;8032377.0
Auvergne-Rhône-Alpes;2020-06-24;0-19;10;777;1940253.0
Auvergne-Rhône-Alpes;2020-06-24;20-59;28;2397;3980515.0
Auvergne-Rhône-Alpes;2020-06-24;60+;10;1628;2111609.0
Auvergne-Rhône-Alpes;2020-06-24;whole;48;4802;8032377.0
Auvergne-Rhône-Alpes;2020-06-25;0-19;6;657;1940253.0
Auvergne-Rhône-Alpes;2020-06-25;20-59;22;1871;3980515.0
Auvergne-Rhône-Alpes;2020-06-25;60+;6;1358;2111609.0
Auvergne-Rhône-Alpes;2020-06-25;whole;34;3888;8032377.0
Auvergne-Rhône-Alpes;2020-06-26;0-19;9;1131;1940253.0
Auvergne-Rhône-Alpes;2020-06-26;20-59;28;2426;3980515.0
Auvergne-Rhône-Alpes;2020-06-26;60+;11;1731;2111609.0
Auvergne-Rhône-Alpes;2020-06-26;whole;48;5288;8032377.0
Auvergne-Rhône-Alpes;2020-06-27;0-19;4;577;1940253.0
