reg;jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
Auvergne-Rhône-Alpes;2020-05-26;20-59;22;2685;3980515.0;0.5526923023779586;0.819366852886406;3.3915209464102007
Auvergne-Rhône-Alpes;2020-05-26;60+;19;2027;2111609.0;0.8997877921528087;0.9373458312777503;4.830439726294025
Auvergne-Rhône-Alpes;2020-05-26;whole;42;5406;8032377.0;0.5228838238045849;0.776914539400666;3.22445024679494
Auvergne-Rhône-Alpes;2020-05-27;0-19;1;662;1940253.0;0.05153967034196056;0.1510574018126888;0.9277140661552902
Auvergne-Rhône-Alpes;2020-05-27;20-59;26;2192;3980515.0;0.6531818119012238;1.1861313868613137;3.115174795221221
Auvergne-Rhône-Alpes;2020-05-27;60+;19;1536;2111609.0;0.8997877921528087;1.2369791666666665;4.8777969785125945
Auvergne-Rhône-Alpes;2020-05-27;whole;47;4392;8032377.0;0.5851318980670355;1.0701275045537342;3.0626052537125688
Auvergne-Rhône-Alpes;2020-05-28;0-19;5;540;1940253.0;0.25769835170980276;0.9259259259259258;1.1338727475231323
Auvergne-Rhône-Alpes;2020-05-28;20-59;22;2188;3980515.0;0.5526923023779586;1.0054844606946984;3.5422552106950986
Auvergne-Rhône-Alpes;2020-05-28;60+;16;1520;2111609.0;0.757716035497102;1.0526315789473684;5.209297744042576
Auvergne-Rhône-Alpes;2020-05-28;whole;51;4272;8032377.0;0.6349303574769959;1.193820224719101;3.510791388402213
Auvergne-Rhône-Alpes;2020-05-29;0-19;2;684;1940253.0;0.10307934068392112;0.29239766081871343;0.8246347254713688
Auvergne-Rhône-Alpes;2020-05-29;20-59;16;2400;3980515.0;0.4019580380930608;0.6666666666666667;3.039807663078772
Auvergne-Rhône-Alpes;2020-05-29;60+;15;1615;2111609.0;0.7103587832785331;0.9287925696594427;4.498938960764043
Auvergne-Rhône-Alpes;2020-05-29;whole;51;4724;8032377.0;0.6349303574769959;1.0795935647756139;3.2244502467949396
Auvergne-Rhône-Alpes;2020-05-30;0-19;4;327;1940253.0;0.20615868136784224;1.2232415902140672;0.7730950551294083
Auvergne-Rhône-Alpes;2020-05-30;20-59;11;1147;3980515.0;0.2763461511889793;0.959023539668701;3.0146852856979565
Auvergne-Rhône-Alpes;2020-05-30;60+;7;843;2111609.0;0.33150076552998214;0.8303677342823249;4.5936534652011805
