reg;jour;cl_age90;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-05-20;29;9;700;894918.0
Auvergne-Rhône-Alpes;2020-05-20;39;10;735;1005784.0
Auvergne-Rhône-Alpes;2020-05-20;49;9;667;1035354.0
Auvergne-Rhône-Alpes;2020-05-20;59;9;658;1044459.0
Auvergne-Rhône-Alpes;2020-05-20;69;3;545;926660.0
Auvergne-Rhône-Alpes;2020-05-20;79;4;473;687362.0
Auvergne-Rhône-Alpes;2020-05-20;89;8;440;387722.0
Auvergne-Rhône-Alpes;2020-05-20;90;3;228;109865.0
Auvergne-Rhône-Alpes;2020-05-21;0;15;730;8032377.0
Auvergne-Rhône-Alpes;2020-05-21;9;0;56;940637.0
Auvergne-Rhône-Alpes;2020-05-21;19;1;38;999616.0
Auvergne-Rhône-Alpes;2020-05-21;29;1;73;894918.0
Auvergne-Rhône-Alpes;2020-05-21;39;2;65;1005784.0
Auvergne-Rhône-Alpes;2020-05-21;49;0;84;1035354.0
Auvergne-Rhône-Alpes;2020-05-21;59;2;83;1044459.0
Auvergne-Rhône-Alpes;2020-05-21;69;0;93;926660.0
Auvergne-Rhône-Alpes;2020-05-21;79;3;88;687362.0
Auvergne-Rhône-Alpes;2020-05-21;89;3;89;387722.0
Auvergne-Rhône-Alpes;2020-05-21;90;3;61;109865.0
Auvergne-Rhône-Alpes;2020-05-22;0;74;4922;8032377.0
Auvergne-Rhône-Alpes;2020-05-22;9;1;282;940637.0
Auvergne-Rhône-Alpes;2020-05-22;19;7;336;999616.0
Auvergne-Rhône-Alpes;2020-05-22;29;20;732;894918.0
Auvergne-Rhône-Alpes;2020-05-22;39;6;660;1005784.0
Auvergne-Rhône-Alpes;2020-05-22;49;5;538;1035354.0
Auvergne-Rhône-Alpes;2020-05-22;59;5;634;1044459.0
Auvergne-Rhône-Alpes;2020-05-22;69;7;573;926660.0
Auvergne-Rhône-Alpes;2020-05-22;79;7;525;687362.0
Auvergne-Rhône-Alpes;2020-05-22;89;12;435;387722.0
Auvergne-Rhône-Alpes;2020-05-22;90;4;204;109865.0
Auvergne-Rhône-Alpes;2020-05-23;0;22;2175;8032377.0
Auvergne-Rhône-Alpes;2020-05-23;9;4;169;940637.0
Auvergne-Rhône-Alpes;2020-05-23;19;1;125;999616.0
Auvergne-Rhône-Alpes;2020-05-23;29;4;227;894918.0
Auvergne-Rhône-Alpes;2020-05-23;39;1;280;1005784.0
Auvergne-Rhône-Alpes;2020-05-23;49;4;253;1035354.0
