jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
2020-05-21;whole;195;9672;67114995.0;0.2905460992733442;2.0161290322580645;7.251732641863416
2020-05-22;0-19;63;5229;16099691.846810132;0.3913118375149667;1.2048192771084338;2.173954652860926
2020-05-22;20-59;391;26467;33157720.0476845;1.1792125617735427;1.4773113688744475;6.55654247901709
2020-05-22;60+;337;18531;17857583.105505366;1.8871534742912957;1.8185742809346501;11.770909801069152
2020-05-22;whole;793;50243;67114995.0;1.181554137044933;1.5783293195071952;6.90158734273913
2020-05-23;0-19;35;2205;16099691.846810132;0.2173954652860926;1.5873015873015872;2.248490240959015
2020-05-23;20-59;120;9400;33157720.0476845;0.36190666857500037;1.276595744680851;6.517335923254798
2020-05-23;60+;105;7306;17857583.105505366;0.5879855038593058;1.4371749247194088;11.602913942823635
2020-05-23;whole;260;18914;67114995.0;0.3873947990311256;1.3746431214973036;6.855397962854649
2020-05-24;0-19;26;897;16099691.846810132;0.16149377421252592;2.898550724637681;2.3478710250897996
2020-05-24;20-59;60;2983;33157720.0476845;0.18095333428750018;2.011397921555481;6.523367701064382
2020-05-24;60+;51;3174;17857583.105505366;0.28559295901737713;1.606805293005671;11.490916703993292
2020-05-24;whole;137;7058;67114995.0;0.20412725948947774;1.9410597903088693;6.852418002862102
2020-05-25;0-19;62;5373;16099691.846810132;0.38510053850679254;1.1539177368323097;2.2050111479017964
2020-05-25;20-59;345;26524;33157720.0476845;1.040481672153126;1.3007087920374;6.158445143584589
2020-05-25;60+;300;19277;17857583.105505366;1.6799585824551595;1.556258753955491;10.006953289491232
2020-05-25;whole;707;51188;67114995.0;1.0534158573654069;1.3811830897866688;6.241526204389942
2020-05-26;0-19;75;5781;16099691.846810132;0.4658474256130556;1.2973533990659056;2.279546735999885
2020-05-26;20-59;388;28802;33157720.0476845;1.1701648950591679;1.3471286716200264;5.823681475152714
2020-05-26;60+;306;19029;17857583.105505366;1.7135577541042626;1.6080718902727416;8.998978140018137
2020-05-26;whole;771;53646;67114995.0;1.1487745771269149;1.437199418409574;5.8258217854296195
2020-05-27;0-19;68;5164;16099691.846810132;0.42236833255583706;1.3168086754453912;2.1677433538527517
2020-05-27;20-59;359;24709;33157720.0476845;1.0827041168202094;1.4529118944514146;5.250662583242296
2020-05-27;60+;297;16077;17857583.105505366;1.6631589966306082;1.8473595820115694;8.360593878685176
2020-05-27;whole;725;45997;67114995.0;1.080235497298331;1.5761897515055328;5.346048226629533
2020-05-28;0-19;67;4991;16099691.846810132;0.4161570335476629;1.342416349428972;2.459674407236933
2020-05-28;20-59;342;23762;33157720.0476845;1.031434005438751;1.4392727884858176;6.046857254107297
2020-05-28;60+;208;15024;17857583.105505366;1.1647712838355773;1.384451544195953;8.982178554193586
2020-05-28;whole;627;43814;67114995.0;0.9342174576635222;1.4310494362532522;5.989719585019711
2020-05-29;0-19;70;5613;16099691.846810132;0.4347909305721852;1.2471049349723855;2.5031535002941516
2020-05-29;20-59;292;25900;33157720.0476845;0.8806395601991674;1.1274131274131274;5.748284252532922
2020-05-29;60+;207;17273;17857583.105505366;1.15917142189406;1.1984021304926764;8.25419650179635
2020-05-29;whole;589;48842;67114995.0;0.8775982178051268;1.205929323123541;5.685763665779905
2020-05-30;0-19;44;2644;16099691.846810132;0.2732971563596593;1.6641452344931922;2.5590551913677184
2020-05-30;20-59;228;10012;33157720.0476845;0.6876226702925007;2.277267279264882;6.074000254250422
2020-05-30;60+;95;7450;17857583.105505366;0.5319868844441339;1.2751677852348993;8.198197882381178
2020-05-30;whole;367;20110;67114995.0;0.5468226586323965;1.8249627051218298;5.845191525381176
2020-05-31;0-19;31;1141;16099691.846810132;0.19255026925339627;2.716914986853637;2.590111686408589
2020-05-31;20-59;118;3423;33157720.0476845;0.355874890765417;3.4472684779433242;6.248921810728339
2020-05-31;60+;36;3754;17857583.105505366;0.20159502989461914;0.9589770911028237;8.11419995325842
2020-05-31;whole;185;8319;67114995.0;0.2756462993106086;2.223824978963818;5.916710565202306
2020-06-01;0-19;18;1135;16099691.846810132;0.11180338214713333;1.5859030837004406;2.3168145300489296
2020-06-01;20-59;108;4288;33157720.0476845;0.3257160017175003;2.5186567164179103;5.534156140292714
2020-06-01;60+;46;4548;17857583.105505366;0.2575936493097911;1.0114335971855761;6.691835020113052
2020-06-01;whole;176;9975;67114995.0;0.26223647934414657;1.7644110275689222;5.125531187181046
2020-06-02;0-19;68;5231;16099691.846810132;0.42236833255583706;1.2999426495889888;2.273335436991711
2020-06-02;20-59;379;25021;33157720.0476845;1.143021894916043;1.5147276287918148;5.5070131401495885
2020-06-02;60+;295;18507;17857583.105505366;1.6519592727475736;1.5939914626897929;6.630236538756363
2020-06-02;whole;743;48782;67114995.0;1.1070551372312551;1.5231027838137017;5.083811747285386
2020-06-03;0-19;54;4983;16099691.846810132;0.3354101464414;1.0836845273931366;2.186377250877274
2020-06-03;20-59;348;22879;33157720.0476845;1.049529338867501;1.521045500240395;5.47383836219688
2020-06-03;60+;251;16190;17857583.105505366;1.4055653473208167;1.5503397158739962;6.372642889446571
2020-06-03;whole;671;44129;67114995.0;0.9997765774995587;1.520542047179859;5.003352827486615
2020-06-04;0-19;50;4586;16099691.846810132;0.3105649504087037;1.0902747492368077;2.0807851677383145
2020-06-04;20-59;367;21766;33157720.0476845;1.1068312280585426;1.6861159606726086;5.549235584816672
2020-06-04;60+;205;14976;17857583.105505366;1.1479716980110257;1.3688568376068375;6.355843303622021
2020-06-04;whole;627;41362;67114995.0;0.9342174576635222;1.5158841448672695;5.003352827486615
2020-06-05;0-19;66;5282;16099691.846810132;0.40994573453948885;1.2495266944339267;2.055939971705618
2020-06-05;20-59;294;23740;33157720.0476845;0.8866713380087509;1.2384161752316765;5.555267362626255
2020-06-05;60+;193;17391;17857583.105505366;1.0807733547128193;1.1097694209648667;6.27744523644078
2020-06-05;whole;555;46435;67114995.0;0.8269388979318258;1.1952191235059761;4.952693507613313
2020-06-06;0-19;32;2415;16099691.846810132;0.19876156826157038;1.3250517598343685;1.9814043836075297
2020-06-06;20-59;167;9327;33157720.0476845;0.5036534471002088;1.790500696901469;5.3712981394339625
2020-06-06;60+;90;7751;17857583.105505366;0.5039875747365479;1.161140498000258;6.249445926733194
2020-06-06;whole;292;19503;67114995.0;0.4350741589118795;1.4972055581192638;4.840945007892796
2020-06-07;0-19;23;875;16099691.846810132;0.1428598771880037;2.6285714285714286;1.931713991542137
2020-06-07;20-59;59;2982;33157720.0476845;0.1779374453827085;1.9785378940308518;5.193360694051254
2020-06-07;60+;48;3655;17857583.105505366;0.26879337319282554;1.3132694938440492;6.3166442700314
2020-06-07;whole;130;7515;67114995.0;0.1936973995155628;1.7298735861610113;4.758996108097751
2020-06-08;0-19;62;4772;16099691.846810132;0.38510053850679254;1.2992455993294216;2.205011147901796
2020-06-08;20-59;325;22786;33157720.0476845;0.9801638940572927;1.4263144035811464;5.847808586391047
2020-06-08;60+;172;17549;17857583.105505366;0.9631762539409581;0.9801128269417061;7.022226874662566
2020-06-08;whole;559;45144;67114995.0;0.8328988179169201;1.2382597908913697;5.329658446670525
2020-06-09;0-19;77;4874;16099691.846810132;0.4782700236294037;1.5798112433319653;2.2609128389753628
2020-06-09;20-59;339;22747;33157720.0476845;1.0223863387243761;1.4903064140326197;5.727173030199381
2020-06-09;60+;160;16089;17857583.105505366;0.8959779106427518;0.9944682702467524;6.266245512557745
2020-06-09;whole;576;43727;67114995.0;0.8582284778535706;1.3172639330390834;5.080831787292839
2020-06-10;0-19;64;4617;16099691.846810132;0.39752313652314075;1.3861815031405675;2.3230258290571038
2020-06-10;20-59;320;21013;33157720.0476845;0.9650844495333343;1.5228667967448721;5.642728140865214
2020-06-10;60+;179;14872;17857583.105505366;1.0023752875315786;1.2036040882194727;5.863055452768506
2020-06-10;whole;563;40529;67114995.0;0.8388587379020143;1.3891287719904266;4.919913947695295
2020-06-11;0-19;98;4265;16099691.846810132;0.6087073028010592;2.2977725674091443;2.621168181449459
2020-06-11;20-59;381;20580;33157720.0476845;1.149053672725626;1.8513119533527695;5.684950585532297
2020-06-11;60+;137;13736;17857583.105505366;0.7671810859878562;0.9973791496796738;5.482264840745337
2020-06-11;whole;616;38604;67114995.0;0.917827677704513;1.5956895658480987;4.903524167736286
2020-06-12;0-19;114;5132;16099691.846810132;0.7080880869318444;2.2213561964146535;2.9193105338418146
2020-06-12;20-59;348;22435;33157720.0476845;1.049529338867501;1.551147760196122;5.847808586391047
2020-06-12;60+;150;16745;17857583.105505366;0.8399792912275797;0.8957897879964168;5.241470777260097
2020-06-12;whole;613;44325;67114995.0;0.9133577377156923;1.3829667230682459;4.989943007520153
2020-06-13;0-19;32;2285;16099691.846810132;0.19876156826157038;1.400437636761488;2.9193105338418146
2020-06-13;20-59;126;9093;33157720.0476845;0.3800020020037504;1.3856812933025404;5.724157141294588
2020-06-13;60+;57;7742;17857583.105505366;0.3191921306664803;0.7362438646344613;5.0566753331900305
2020-06-13;whole;215;19122;67114995.0;0.3203456991988154;1.1243593766342435;4.875214547807088
2020-06-14;0-19;17;717;16099691.846810132;0.10559208313895926;2.3709902370990235;2.8820427397927704
2020-06-14;20-59;73;2650;33157720.0476845;0.22015989004979186;2.7547169811320753;5.766379585961672
2020-06-14;60+;43;3241;17857583.105505366;0.24079406348523952;1.3267510027769207;5.028676023482444
2020-06-14;whole;133;6609;67114995.0;0.1981673395043835;2.012407323346951;4.87968448779591
2020-06-15;0-19;84;4870;16099691.846810132;0.5217491166866223;1.724845995893224;3.0186913179726003
2020-06-15;20-59;277;21235;33157720.0476845;0.8354012266272924;1.304450200141276;5.621616918531672
2020-06-15;60+;138;17349;17857583.105505366;0.7727809479293735;0.7954348953830191;4.83828071747086
2020-06-15;whole;499;43480;67114995.0;0.7435000181405065;1.1476540938362467;4.790285688019496
2020-06-16;0-19;73;4857;16099691.846810132;0.4534248275967074;1.5029853819229977;2.993846121939904
2020-06-16;20-59;344;21258;33157720.0476845;1.0374657832483343;1.6182143193150815;5.636696363055631
2020-06-16;60+;149;16672;17857583.105505366;0.8343794292860625;0.8937140115163148;4.776682236114171
2020-06-16;whole;572;42807;67114995.0;0.8522685578684764;1.3362300558319902;4.784325768034401
2020-06-17;0-19;114;4861;16099691.846810132;0.7080880869318444;2.3451964616334084;3.304411072348607
2020-06-17;20-59;450;20075;33157720.0476845;1.3571500071562514;2.2415940224159403;6.028761920678548
2020-06-17;60+;177;14972;17857583.105505366;0.9911755636485442;1.1822067860005343;4.765482512231136
2020-06-17;whole;743;39927;67114995.0;1.1070551372312551;1.8608961354471911;5.052522167363643
2020-06-18;0-19;103;4488;16099691.846810132;0.6397637978419296;2.2950089126559714;3.335467567389478
2020-06-18;20-59;352;19338;33157720.0476845;1.0615928944866677;1.8202502844141069;5.941301142439589
2020-06-18;60+;114;13795;17857583.105505366;0.6383842613329606;0.8263863718738674;4.63668568757624
2020-06-18;whole;570;37654;67114995.0;0.8492885978759291;1.513783396186328;4.983983087535058
2020-06-19;0-19;117;5468;16099691.846810132;0.7267219839563667;2.139722019019751;3.3541014644139997
2020-06-19;20-59;437;22689;33157720.0476845;1.3179434513939596;1.9260434571818943;6.2097152549660475
2020-06-19;60+;144;17463;17857583.105505366;0.8063801195784766;0.8246005840920804;4.603086515927137
2020-06-19;whole;699;45639;67114995.0;1.0414960173952186;1.5315848287648721;5.112121367214584
2020-06-20;0-19;57;2715;16099691.846810132;0.3540440434659222;2.0994475138121547;3.5093839396183517
2020-06-20;20-59;225;10220;33157720.0476845;0.6785750035781257;2.2015655577299413;6.508288256540424
2020-06-20;60+;67;8637;17857583.105505366;0.3751907500816523;0.7757323144610397;4.659085135342309
2020-06-20;whole;349;21575;67114995.0;0.5200030186994724;1.6176129779837776;5.3117786867152414
2020-06-21;0-19;13;679;16099691.846810132;0.08074688710626296;1.914580265095729;3.4845387435856554
2020-06-21;20-59;74;2532;33157720.0476845;0.22317577895458357;2.9225908372827805;6.511304145445215
2020-06-21;60+;26;3236;17857583.105505366;0.14559641047944716;0.8034610630407911;4.563887482336517
2020-06-21;whole;113;6448;67114995.0;0.1683677395789123;1.7524813895781637;5.281979086789771
2020-06-22;0-19;96;5949;16099691.846810132;0.5962847047847111;1.6137165910237017;3.5590743316837443
2020-06-22;20-59;362;23994;33157720.0476845;1.0917517835345845;1.5087105109610734;6.767654702352507
2020-06-22;60+;137;18134;17857583.105505366;0.7671810859878562;0.7554869306275505;4.558287620394999
2020-06-22;whole;595;48101;67114995.0;0.8865380977827683;1.2369805201555062;5.425017166432033
2020-06-23;0-19;114;6429;16099691.846810132;0.7080880869318444;1.773215118992067;3.813737591018881
2020-06-23;20-59;418;24393;33157720.0476845;1.260641562202918;1.7136063624810398;6.990830481307091
2020-06-23;60+;122;17308;17857583.105505366;0.6831831568650982;0.7048763577536399;4.407091347974036
2020-06-23;whole;656;48153;67114995.0;0.9774268775554554;1.362324258093992;5.550175486119011
2020-06-24;0-19;103;6639;16099691.846810132;0.6397637978419296;1.5514384696490435;3.745413301928967
2020-06-24;20-59;445;23151;33157720.0476845;1.3420705626322929;1.9221631894950544;6.975751036783132
2020-06-24;60+;117;15371;17857583.105505366;0.6551838471575122;0.7611736386702231;4.071099631483003
2020-06-24;whole;666;45176;67114995.0;0.9923266775181909;1.474234106605277;5.435447026405948
2020-06-25;0-19;78;5924;16099691.846810132;0.48448132263757776;1.3166779203241055;3.590130826724615
2020-06-25;20-59;335;20028;33157720.0476845;1.0103227831052093;1.6726582784102255;6.924480925401673
2020-06-25;60+;95;13518;17857583.105505366;0.5319868844441339;0.7027666814617547;3.9647022545941764
2020-06-25;whole;508;39486;67114995.0;0.7569098381069684;1.2865319353694982;5.343068266636986
2020-06-26;0-19;89;8309;16099691.846810132;0.5528056117274927;1.0711276928631603;3.4162144544957407
2020-06-26;20-59;367;24792;33157720.0476845;1.1068312280585426;1.4803162310422717;6.713368702066257
2020-06-26;60+;121;17696;17857583.105505366;0.677583294923581;0.6837703435804702;3.835905429939281
2020-06-26;whole;578;50813;67114995.0;0.8612084378461177;1.1375041820006693;5.162780687087885
2020-06-27;0-19;60;4047;16099691.846810132;0.37267794049044445;1.4825796886582654;3.434848351520263
2020-06-27;20-59;206;11152;33157720.0476845;0.621273114387084;1.8472022955523673;6.656066812875214
2020-06-27;60+;70;9321;17857583.105505366;0.39199033590620386;0.750992382791546;3.8527050157638323
2020-06-27;whole;336;24526;67114995.0;0.5006332787479162;1.3699747207045583;5.143410947136329
2020-06-28;0-19;42;1238;16099691.846810132;0.26087455834331114;3.392568659127625;3.614976022757311
2020-06-28;20-59;127;3316;33157720.0476845;0.38301789090854205;3.829915560916767;6.8159089248291735
2020-06-28;60+;45;3629;17857583.105505366;0.25199378736827394;1.2400110223201983;3.959102392652659
2020-06-28;whole;214;8186;67114995.0;0.31885571920254185;2.614219398973858;5.293898926759959
2020-06-29;0-19;112;11206;16099691.846810132;0.6956654889154963;0.9994645725504194;3.7143568068880963
2020-06-29;20-59;430;29419;33157720.0476845;1.296832229060418;1.4616404364526328;7.020989370355007
2020-06-29;60+;131;20705;17857583.105505366;0.733581914338753;0.6326974160830717;3.925503221003556
2020-06-29;whole;674;61346;67114995.0;1.0042465174883795;1.0986861409056825;5.41160734646557
2020-06-30;0-19;106;11143;16099691.846810132;0.6583976948664518;0.9512698555146729;3.6646664148227033
2020-06-30;20-59;454;29179;33157720.0476845;1.369213562775418;1.555913499434525;7.129561370927506
2020-06-30;60+;140;18756;17857583.105505366;0.7839806718124077;0.7464278097675411;4.026300735950866
2020-06-30;whole;722;59150;67114995.0;1.0757655573095104;1.220625528317836;5.509946026219625
2020-07-01;0-19;108;11285;16099691.846810132;0.6708202928828;0.9570225963668586;3.6957229098635738
2020-07-01;20-59;410;28975;33157720.0476845;1.2365144509645845;1.4150129421915445;7.024005259259798
2020-07-01;60+;103;16665;17857583.105505366;0.5767857799762715;0.618061806180618;3.9479026687696246
2020-07-01;whole;630;56958;67114995.0;0.9386873976523429;1.106078162856842;5.456306746353777
2020-07-02;0-19;104;10869;16099691.846810132;0.6459750968501037;0.9568497561873217;3.8572166840761
2020-07-02;20-59;373;27998;33157720.0476845;1.1249265614872928;1.3322380170012142;7.138609037641881
2020-07-02;60+;109;15635;17857583.105505366;0.6103849516253746;0.6971538215542054;4.026300735950866
2020-07-02;whole;591;54535;67114995.0;0.8805781777976739;1.08370771064454;5.579975086044483
2020-07-03;0-19;136;12582;16099691.846810132;0.8447366651116741;1.080909235415673;4.149147737460281
2020-07-03;20-59;417;31779;33157720.0476845;1.2576256732981261;1.3121872934957046;7.289403482881465
2020-07-03;60+;176;19494;17857583.105505366;0.9855757017070269;0.902841900071817;4.334293142734311
2020-07-03;whole;737;63882;67114995.0;1.0981152572536137;1.1536896152280767;5.816881905451979
2020-07-04;0-19;59;5752;16099691.846810132;0.36646664148227037;1.0257301808066759;4.142936438452107
2020-07-04;20-59;217;13971;33157720.0476845;0.6544478923397923;1.553217378856202;7.322578260834174
2020-07-04;60+;72;9230;17857583.105505366;0.4031900597892383;0.7800650054171181;4.345492866617346
2020-07-04;whole;349;28962;67114995.0;0.5200030186994724;1.2050272771217456;5.836251645403535
2020-07-05;0-19;8;1231;16099691.846810132;0.049690392065392594;0.6498781478472786;3.931752272174189
2020-07-05;20-59;69;3421;33157720.0476845;0.2080963344306252;2.0169541069862613;7.147656704356256
2020-07-05;60+;26;3838;17857583.105505366;0.14559641047944716;0.6774361646690985;4.23909548972852
2020-07-05;whole;103;8490;67114995.0;0.1534679396161767;1.2131919905771495;5.670863865817169
2020-07-06;0-19;136;12328;16099691.846810132;0.8447366651116741;1.1031797534068788;4.080823448370366
2020-07-06;20-59;399;33850;33157720.0476845;1.2033396730118762;1.1787296898079764;7.0541641483077155
2020-07-06;60+;141;20407;17857583.105505366;0.789580533753925;0.6909393835448621;4.295094109143692
2020-07-06;whole;676;66609;67114995.0;1.0072264774809265;1.0148778693569938;5.6738438258097155
2020-07-07;0-19;85;12194;16099691.846810132;0.5279604156947962;0.6970641298999508;3.950386169198711
2020-07-07;20-59;365;34222;33157720.0476845;1.1007994502489595;1.06656536730758;6.7857500357812555
2020-07-07;60+;117;19479;17857583.105505366;0.6551838471575122;0.6006468504543354;4.166297284488795
2020-07-07;whole;571;65930;67114995.0;0.8507785778722028;0.8660700743212499;5.448856846372409
2020-07-08;0-19;123;11520;16099691.846810132;0.7639897780054111;1.0677083333333333;4.043555654321322
2020-07-08;20-59;463;35389;33157720.0476845;1.396356562918543;1.3083161434344004;6.945592147735215
2020-07-08;60+;114;17808;17857583.105505366;0.6383842613329606;0.6401617250673854;4.227895765845485
2020-07-08;whole;700;64753;67114995.0;1.042985997391492;1.0810309947029482;5.553155446111559
2020-07-09;0-19;125;11910;16099691.846810132;0.7764123760217593;1.0495382031905962;4.173992933492978
2020-07-09;20-59;451;37582;33157720.0476845;1.360165896061043;1.200042573572455;7.180831482308966
2020-07-09;60+;123;18856;17857583.105505366;0.6887830188066154;0.6523122613491728;4.306293833026725
2020-07-09;whole;701;68392;67114995.0;1.0444759773877657;1.0249736811322963;5.717053245701649
2020-07-10;0-19;165;14221;16099691.846810132;1.0248643363487222;1.1602559594965192;4.354120604730026
2020-07-10;20-59;535;41146;33157720.0476845;1.6135005640635434;1.3002478977300345;7.536706373074382
2020-07-10;60+;143;21267;17857583.105505366;0.8007802576369594;0.6724032538674942;4.121498388956658
2020-07-10;whole;847;76685;67114995.0;1.2620130568437053;1.104518484710178;5.8809510452917415
2020-07-11;0-19;58;6271;16099691.846810132;0.3602553424740963;0.9248923616648062;4.347909305721852
2020-07-11;20-59;225;17020;33157720.0476845;0.6785750035781257;1.3219741480611047;7.560833484312717
2020-07-11;60+;68;9159;17857583.105505366;0.3807906120231695;0.742439130909488;4.099098941190589
2020-07-11;whole;351;32458;67114995.0;0.5229829786920196;1.0813974983055026;5.883931005284289
2020-07-12;0-19;20;1347;16099691.846810132;0.12422598016348146;1.4847809948032664;4.42244489381994
2020-07-12;20-59;63;3691;33157720.0476845;0.1900010010018752;1.706854510972636;7.542738150883966
2020-07-12;60+;33;3445;17857583.105505366;0.18479544407006754;0.9579100145137881;4.138297974781209
2020-07-12;whole;116;8485;67114995.0;0.17283767956773297;1.3671184443134945;5.903300745235845
2020-07-13;0-19;166;13599;16099691.846810132;1.0310756353568964;1.2206779910287522;4.608783864065163
2020-07-13;20-59;558;42374;33157720.0476845;1.6828660088737517;1.3168452352857885;8.022264486745842
2020-07-13;60+;151;24045;17857583.105505366;0.845579153169097;0.627989186941152;4.1942965941963815
2020-07-13;whole;875;80086;67114995.0;1.303732496739365;1.0925754813575406;6.199806764494284
2020-07-14;0-19;29;1810;16099691.846810132;0.18012767123704815;1.6022099447513811;4.260951119607415
2020-07-14;20-59;115;5793;33157720.0476845;0.346827224051042;1.9851544968064905;7.268292260547925
2020-07-14;60+;38;4733;17857583.105505366;0.21279475377765353;0.8028734417916754;3.7519075008165226
2020-07-14;whole;182;12339;67114995.0;0.2711763593217879;1.4749979739038819;5.620204545943869
2020-07-15;0-19;143;13275;16099691.846810132;0.8882157581688926;1.0772128060263655;4.385177099770896
2020-07-15;20-59;541;44969;33157720.0476845;1.631595897492293;1.2030509906824702;7.5035315951216734
2020-07-15;60+;163;21378;17857583.105505366;0.9127774964673033;0.7624660866311161;4.026300735950865
2020-07-15;whole;852;79739;67114995.0;1.269462956825073;1.0684859353641254;5.84668150537745
2020-07-16;0-19;150;13123;16099691.846810132;0.9316948512261112;1.143031319058142;4.540459574975248
2020-07-16;20-59;660;48436;33157720.0476845;1.9904866771625018;1.3626228425138327;8.133852376223132
