jour;three_class;P;T;pop;incidence;positivite;taux de test;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
2020-05-13;0-19;41;2951;16099691.846810132;0.254663259335137;1.3893595391392748;18.32954337312169;41.0;2951.0;0.254663259335137;1.3893595391392748;18.32954337312169
2020-05-13;20-59;427;22041;33157720.0476845;1.2877845623460429;1.937298670659226;66.47320735051319;427.0;22041.0;1.2877845623460429;1.937298670659226;66.47320735051319
2020-05-13;60+;413;14056;17857583.105505366;2.312742981846603;2.9382470119521913;78.71165944996574;413.0;14056.0;2.312742981846603;2.9382470119521913;78.71165944996574
2020-05-13;whole;889;39317;67114995.0;1.3245922166871948;2.261108426380446;58.58154351348755;889.0;39317.0;1.3245922166871948;2.261108426380446;58.58154351348755
2020-05-14;0-19;60;3405;16099691.846810132;0.37267794049044445;1.762114537444934;21.14947312283272;101.0;6356.0;0.6273411998255815;1.5890497168030209;39.47901649595441
2020-05-14;20-59;476;23731;33157720.0476845;1.4355631186808349;2.0058151784585565;71.57005959961111;903.0;45772.0;2.7233476810268775;1.972821812461767;138.04326695012432
2020-05-14;60+;443;14850;17857583.105505366;2.4807388400921186;2.983164983164983;83.1579498315304;856.0;28906.0;4.793481821938722;2.9613229087386705;161.86960928149614
2020-05-14;whole;999;42664;67114995.0;1.4884900162772865;2.3415525970373148;63.56850656101516;1888.0;81981.0;2.8130822329644816;2.302972640001952;122.15005007450272
2020-05-15;0-19;57;4431;16099691.846810132;0.3540440434659222;1.2863913337846988;27.522265905219324;158.0;10787.0;0.9813852432915038;1.4647260591452673;67.00128240117373
2020-05-15;20-59;501;26268;33157720.0476845;1.5109603413006265;1.9072635906806763;79.22136975106758;1404.0;72040.0;4.234308022327504;1.948917268184342;217.2646367011919
2020-05-15;60+;463;16987;17857583.105505366;2.5927360789224627;2.725613704597633;95.12485480055265;1319.0;45893.0;7.386217900861185;2.8740766565707188;256.9944640820488
2020-05-15;whole;1028;47918;67114995.0;1.5316994361692196;2.1453316081639464;71.39686146143646;2916.0;129899.0;4.344781669133701;2.2448209762969693;193.54691153593916
2020-05-16;0-19;23;1703;16099691.846810132;0.1428598771880037;1.3505578391074575;10.577842210920448;181.0;12490.0;1.1242451204795074;1.4491593274619696;77.57912461209419
2020-05-16;20-59;133;8768;33157720.0476845;0.401113224337292;1.5168795620437956;26.443313917213356;1537.0;80808.0;4.635421246664796;1.902039402039402;243.70795061840525
2020-05-16;60+;135;6064;17857583.105505366;0.7559813621048218;2.2262532981530345;33.95756281336029;1454.0;51957.0;8.142199262966006;2.7984679638932195;290.95202689540906
2020-05-16;whole;291;16540;67114995.0;0.43358417891560597;1.7593712212817414;24.64426913836468;3207.0;146439.0;4.778365848049307;2.1899903714174505;218.19118067430387
2020-05-17;0-19;10;705;16099691.846810132;0.06211299008174073;1.4184397163120568;4.378965800762723;191.0;13195.0;1.1863581105612482;1.4475179992421372;81.9580904128569
2020-05-17;20-59;58;2822;33157720.0476845;0.17492155647791682;2.0552799433026223;8.510838489322092;1595.0;83630.0;4.810342803142714;1.9072103312208537;252.2187891077273
2020-05-17;60+;71;3077;17857583.105505366;0.39759019784772115;2.307442313942152;17.23077519404842;1525.0;55034.0;8.539789460813727;2.7710142820801686;308.18280208945754
2020-05-17;whole;139;6605;67114995.0;0.20710721948202485;2.10446631339894;9.841317875386864;3346.0;153044.0;4.9854730675313315;2.1862993648885287;228.03249854969073
2020-05-18;0-19;85;4711;16099691.846810132;0.5279604156947962;1.804287836977287;29.26142962750806;276.0;17906.0;1.7143185262560445;1.5413827767228863;111.21952004036497
2020-05-18;20-59;466;28004;33157720.0476845;1.4054042296329181;1.6640479931438368;84.45695288978592;2061.0;111634.0;6.215747032775631;1.846211727609868;336.6757419975132
2020-05-18;60+;565;18670;17857583.105505366;3.1639219969572174;3.026245313336904;104.5494224481261;2090.0;73704.0;11.703711457770945;2.8356669922934983;412.7322245375836
2020-05-18;whole;1117;51412;67114995.0;1.6643076558375667;2.172644518789388;76.60285156841627;4463.0;204456.0;6.649780723368899;2.182865751066244;304.635350118107
2020-05-19;0-19;63;5016;16099691.846810132;0.3913118375149667;1.255980861244019;31.155875825001154;339.0;22922.0;2.105630363771011;1.4789285402669925;142.37539586536613
2020-05-19;20-59;499;29850;33157720.0476845;1.5049285634910432;1.6716917922948074;90.02428380803134;2560.0;141484.0;7.720675596266674;1.8093918746996125;426.7000258055446
2020-05-19;60+;486;18150;17857583.105505366;2.7215329035773586;2.677685950413223;101.63749423853716;2576.0;91854.0;14.425244361348303;2.8044505410760556;514.3697187761207
2020-05-19;whole;1050;53039;67114995.0;1.5644789960872378;1.9796753332453478;79.02704902235335;5513.0;257495.0;8.214259719456138;2.1410124468436282;383.6623991404603
2020-05-20;0-19;86;5501;16099691.846810132;0.5341717147029703;1.5633521177967642;34.16835584396558;384.0;25472.0;2.3851388191388443;1.507537688442211;158.21420833621002
2020-05-20;20-59;549;29476;33157720.0476845;1.6557230087306267;1.8625322296105307;88.89634135763926;2682.0;148919.0;8.088614042651258;1.8009790557282819;449.1231598126706
2020-05-20;60+;411;18055;17857583.105505366;2.3015432579635684;2.2763777346995293;101.10550735409302;2574.0;95853.0;14.414044637465269;2.6853619605020187;536.763566680248
2020-05-20;whole;1047;53060;67114995.0;1.5600090560984174;1.973237843950245;79.0583386022751;5671.0;271238.0;8.44967655886736;2.0907837397414815;404.13919422924783
